縣市名稱,縣市代碼,卡介苗（接種人次）,五合一疫苗（接種人次）,白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗（接種人次）,破傷風減量白喉混合疫苗（接種人次）,B型肝炎免疫球蛋白（接種人次）,B型肝炎疫苗（接種人次）,水痘疫苗（接種人次）,麻疹腮腺炎德國麻疹混合疫苗（接種人次）,日本腦炎疫苗（接種人次）,A型肝炎疫苗（接種人次）,結合型肺炎鏈球菌疫苗（接種人次）
新北市,65000,18529,74934,39014,2,342,51326,20210,59246,47443,44780,55935
臺北市,63000,15812,62783,23218,0,458,49834,15308,38755,32467,31957,48553
桃園市,68000,16871,65377,22953,1,338,48706,16761,39993,35649,34968,50193
臺中市,66000,19703,78580,30166,0,401,59645,20057,50442,42749,42082,60065
臺南市,67000,11059,43263,15986,1,218,32350,11306,27307,24818,24052,33587
高雄市,64000,15194,59909,22919,3,388,45327,15901,38729,34384,33921,46885
宜蘭縣,10002,2490,10115,3790,0,45,7044,2578,6360,5732,5507,7521
新竹縣,10004,4793,19659,6323,0,98,15200,4837,11222,10276,10065,14694
苗栗縣,10005,2415,9761,5198,2,38,5762,2713,7966,6590,6108,7184
彰化縣,10007,7431,30082,12700,0,173,21787,7504,20336,16700,16335,22542
南投縣,10008,2264,9306,3789,2,25,5764,2402,6172,5566,5317,6871
雲林縣,10009,3017,12713,5487,0,65,8025,3273,8709,7415,7280,9371
嘉義縣,10010,1652,5718,2812,0,41,4259,1479,4337,3428,3288,4212
屏東縣,10013,3996,16113,7516,0,60,10406,4157,11732,9437,8832,11921
臺東縣,10014,1181,4698,1844,0,18,3254,1176,3015,2616,2576,3499
花蓮縣,10015,1839,7347,2622,0,32,5154,1936,4641,4088,4133,5502
澎湖縣,10016,441,1801,683,0,5,1090,437,1122,981,982,1302
基隆市,10017,1439,6167,2783,1,25,4277,1640,4439,3577,3618,4655
新竹市,10018,3898,15564,5871,0,71,11625,3820,9692,8459,8028,11530
嘉義市,10020,2642,11205,3252,0,72,8865,2688,5944,5611,5547,8592
金門縣,09020,398,1719,755,0,4,1006,458,1180,988,952,1245
連江縣,09007,46,172,64,0,0,56,51,112,120,119,125
