年,週,就診類別,年齡別,縣市,類流感健保就診人次,健保就診總人次,縣市別代碼
2016,01,住院,25~64,基隆市,0,85,10017
2016,01,住院,25~64,新竹市,6,447,10018
2016,01,住院,25~64,嘉義市,1,32,10020
2016,01,住院,25~64,台北市,245,4136,63000
2016,01,住院,25~64,高雄市,10,1019,64000
2016,01,住院,25~64,新北市,45,961,65000
2016,01,住院,25~64,台中市,53,1610,66000
2016,01,住院,25~64,台南市,13,1012,67000
2016,01,住院,25~64,桃園市,8,562,68000
2016,01,住院,3~6,宜蘭縣,5,36,10002
2016,01,住院,3~6,新竹縣,0,2,10004
2016,01,住院,3~6,苗栗縣,6,12,10005
2016,01,住院,3~6,彰化縣,29,80,10007
2016,01,住院,3~6,南投縣,4,8,10008
2016,01,住院,3~6,雲林縣,5,12,10009
2016,01,住院,3~6,嘉義縣,3,12,10010
2016,01,住院,3~6,屏東縣,2,6,10013
2016,01,住院,3~6,台東縣,3,4,10014
2016,01,住院,3~6,花蓮縣,1,9,10015
2016,01,住院,3~6,基隆市,4,11,10017
2016,01,住院,3~6,新竹市,12,21,10018
2016,01,住院,3~6,台北市,57,179,63000
2016,01,住院,3~6,高雄市,7,46,64000
2016,01,住院,3~6,新北市,24,48,65000
2016,01,住院,3~6,台中市,27,87,66000
2016,01,住院,3~6,台南市,5,16,67000
2016,01,住院,3~6,桃園市,14,41,68000
2016,01,住院,65+,宜蘭縣,11,215,10002
2016,01,住院,65+,新竹縣,7,73,10004
2016,01,住院,65+,苗栗縣,14,197,10005
2016,01,住院,65+,彰化縣,104,688,10007
2016,01,住院,65+,南投縣,16,141,10008
2016,01,住院,65+,雲林縣,21,218,10009
2016,01,住院,65+,嘉義縣,9,154,10010
2016,01,住院,65+,屏東縣,9,136,10013
2016,01,住院,65+,台東縣,0,1,10014
2016,01,住院,65+,花蓮縣,10,91,10015
2016,01,住院,65+,澎湖縣,0,1,10016
2016,01,住院,65+,基隆市,4,64,10017
2016,01,住院,65+,新竹市,17,275,10018
2016,01,住院,65+,嘉義市,0,16,10020
2016,01,住院,65+,台北市,295,2883,63000
2016,01,住院,65+,高雄市,38,516,64000
2016,01,住院,65+,新北市,87,529,65000
2016,01,住院,65+,台中市,93,1023,66000
2016,01,住院,65+,台南市,32,580,67000
2016,01,住院,65+,桃園市,27,269,68000
2016,01,住院,7~12,宜蘭縣,6,32,10002
2016,01,住院,7~12,新竹縣,0,1,10004
2016,01,住院,7~12,苗栗縣,3,9,10005
2016,01,住院,7~12,彰化縣,13,32,10007
2016,01,住院,7~12,南投縣,1,4,10008
2016,01,住院,7~12,雲林縣,1,7,10009
2016,01,住院,7~12,嘉義縣,1,4,10010
2016,01,住院,7~12,屏東縣,0,4,10013
2016,01,住院,7~12,台東縣,1,1,10014
2016,01,住院,7~12,花蓮縣,2,2,10015
2016,01,住院,7~12,新竹市,8,13,10018
2016,01,住院,7~12,台北市,20,104,63000
2016,01,住院,7~12,高雄市,4,26,64000
2016,01,住院,7~12,新北市,13,23,65000
2016,01,住院,7~12,台中市,18,57,66000
2016,01,住院,7~12,台南市,1,10,67000
2016,01,住院,7~12,桃園市,6,26,68000
2016,01,門診,0~2,連江縣,0,22,09007
2016,01,門診,0~2,金門縣,1,389,09020
2016,01,門診,0~2,宜蘭縣,34,2203,10002
2016,01,門診,0~2,新竹縣,44,3335,10004
2016,01,門診,0~2,苗栗縣,47,2843,10005
2016,01,門診,0~2,彰化縣,217,7785,10007
2016,01,門診,0~2,南投縣,29,2561,10008
2016,01,門診,0~2,雲林縣,62,3467,10009
2016,01,門診,0~2,嘉義縣,12,1313,10010
2016,01,門診,0~2,屏東縣,129,4237,10013
2016,01,門診,0~2,台東縣,25,766,10014
2016,01,門診,0~2,花蓮縣,38,1666,10015
2016,01,門診,0~2,澎湖縣,2,382,10016
2016,01,門診,0~2,基隆市,48,1809,10017
2016,01,門診,0~2,新竹市,89,4135,10018
2016,01,門診,0~2,嘉義市,10,2221,10020
2016,01,門診,0~2,台北市,204,11700,63000
2016,01,門診,0~2,高雄市,388,15802,64000
2016,01,門診,0~2,新北市,324,23953,65000
2016,01,門診,0~2,台中市,695,18378,66000
2016,01,門診,0~2,台南市,307,10495,67000
2016,01,門診,0~2,桃園市,285,12282,68000
2016,01,門診,13~15,連江縣,0,18,09007
2016,01,門診,13~15,金門縣,3,396,09020
2016,01,門診,13~15,宜蘭縣,42,2138,10002
2016,01,門診,13~15,新竹縣,36,2049,10004
2016,01,門診,13~15,苗栗縣,46,2107,10005
2016,01,門診,13~15,彰化縣,186,5977,10007
2016,01,門診,13~15,南投縣,61,2212,10008
2016,01,門診,13~15,雲林縣,71,3448,10009
2016,01,門診,13~15,嘉義縣,32,1791,10010
2016,01,門診,13~15,屏東縣,83,3425,10013
2016,01,門診,13~15,台東縣,8,753,10014
2016,01,門診,13~15,花蓮縣,23,1207,10015
2016,01,門診,13~15,澎湖縣,3,582,10016
2016,01,門診,13~15,基隆市,50,1761,10017
2016,01,門診,13~15,新竹市,51,2291,10018
2016,01,門診,13~15,嘉義市,45,2009,10020
2016,01,門診,13~15,台北市,218,10328,63000
2016,01,門診,13~15,高雄市,186,11362,64000
2016,01,門診,13~15,新北市,400,17781,65000
2016,01,門診,13~15,台中市,445,13283,66000
2016,01,門診,13~15,台南市,182,7753,67000
2016,01,門診,13~15,桃園市,272,8975,68000
2016,01,門診,16~18,連江縣,0,17,09007
2016,01,門診,16~18,金門縣,2,462,09020
2016,01,門診,16~18,宜蘭縣,42,1881,10002
2016,01,門診,16~18,新竹縣,30,2098,10004
2016,01,門診,16~18,苗栗縣,47,2220,10005
2016,01,門診,16~18,彰化縣,183,6011,10007
2016,01,門診,16~18,南投縣,30,2064,10008
2016,01,門診,16~18,雲林縣,75,3372,10009
2016,01,門診,16~18,嘉義縣,21,1682,10010
2016,01,門診,16~18,屏東縣,76,3433,10013
2016,01,門診,16~18,台東縣,8,838,10014
2016,01,門診,16~18,花蓮縣,27,1453,10015
2016,01,門診,16~18,澎湖縣,4,503,10016
2016,01,門診,16~18,基隆市,28,1901,10017
2016,01,門診,16~18,新竹市,47,2326,10018
2016,01,門診,16~18,嘉義市,41,2210,10020
2016,01,門診,16~18,台北市,174,11214,63000
2016,01,門診,16~18,高雄市,154,12357,64000
2016,01,門診,16~18,新北市,347,19091,65000
2016,01,門診,16~18,台中市,421,14410,66000
2016,01,門診,16~18,台南市,138,8059,67000
2016,01,門診,16~18,桃園市,238,9659,68000
2016,01,門診,19~24,連江縣,0,149,09007
2016,01,門診,19~24,金門縣,4,707,09020
2016,01,門診,19~24,宜蘭縣,40,3038,10002
2016,01,門診,19~24,新竹縣,17,3233,10004
2016,01,門診,19~24,苗栗縣,32,3485,10005
2016,01,門診,19~24,彰化縣,187,9356,10007
2016,01,門診,19~24,南投縣,29,2791,10008
2016,01,門診,19~24,雲林縣,61,4817,10009
2016,01,門診,19~24,嘉義縣,32,2791,10010
2016,01,門診,19~24,屏東縣,94,5931,10013
2016,01,門診,19~24,台東縣,1,1149,10014
2016,01,門診,19~24,花蓮縣,28,2724,10015
2016,01,門診,19~24,澎湖縣,2,982,10016
2016,01,門診,19~24,基隆市,52,3090,10017
2016,01,門診,19~24,新竹市,59,4740,10018
2016,01,門診,19~24,嘉義市,34,3585,10020
2016,01,門診,19~24,台北市,219,26699,63000
2016,01,門診,19~24,高雄市,207,25309,64000
2016,01,門診,19~24,新北市,360,34598,65000
2016,01,門診,19~24,台中市,484,31206,66000
2016,01,門診,19~24,台南市,214,17503,67000
2016,01,門診,19~24,桃園市,199,16547,68000
2016,01,門診,25~64,連江縣,3,704,09007
2016,01,門診,25~64,金門縣,25,7827,09020
2016,01,門診,25~64,宜蘭縣,399,38176,10002
2016,01,門診,25~64,新竹縣,260,40084,10004
2016,01,門診,25~64,苗栗縣,300,44701,10005
2016,01,門診,25~64,彰化縣,1709,124766,10007
2016,01,門診,25~64,南投縣,222,41622,10008
2016,01,門診,25~64,雲林縣,686,65096,10009
2016,01,門診,25~64,嘉義縣,440,35904,10010
2016,01,門診,25~64,屏東縣,970,78079,10013
2016,01,門診,25~64,台東縣,50,18610,10014
2016,01,門診,25~64,花蓮縣,311,35077,10015
2016,01,門診,25~64,澎湖縣,9,12126,10016
2016,01,門診,25~64,基隆市,542,42074,10017
2016,01,門診,25~64,新竹市,541,59281,10018
2016,01,門診,25~64,嘉義市,451,44973,10020
2016,01,門診,25~64,台北市,2372,342593,63000
2016,01,門診,25~64,高雄市,2474,309141,64000
2016,01,門診,25~64,新北市,3741,399323,65000
2016,01,門診,25~64,台中市,4458,316757,66000
2016,01,門診,25~64,台南市,2236,201124,67000
2016,01,門診,25~64,桃園市,1804,201816,68000
2016,01,門診,3~6,連江縣,0,45,09007
2016,01,門診,3~6,金門縣,19,832,09020
2016,01,門診,3~6,宜蘭縣,106,4648,10002
2016,01,門診,3~6,新竹縣,93,6557,10004
2016,01,門診,3~6,苗栗縣,186,5868,10005
2016,01,門診,3~6,彰化縣,581,15319,10007
2016,01,門診,3~6,南投縣,59,5476,10008
2016,01,門診,3~6,雲林縣,148,7416,10009
2016,01,門診,3~6,嘉義縣,54,3111,10010
2016,01,門診,3~6,屏東縣,327,8590,10013
2016,01,門診,3~6,台東縣,61,1496,10014
2016,01,門診,3~6,花蓮縣,116,3272,10015
2016,01,門診,3~6,澎湖縣,11,954,10016
2016,01,門診,3~6,基隆市,132,3728,10017
2016,01,門診,3~6,新竹市,223,7432,10018
2016,01,門診,3~6,嘉義市,66,4931,10020
2016,01,門診,3~6,台北市,681,24344,63000
2016,01,門診,3~6,高雄市,990,30108,64000
2016,01,門診,3~6,新北市,1099,48734,65000
2016,01,門診,3~6,台中市,1717,37780,66000
2016,01,門診,3~6,台南市,1046,21674,67000
2016,01,門診,3~6,桃園市,863,23539,68000
2016,01,門診,65+,連江縣,3,283,09007
2016,01,門診,65+,金門縣,6,3814,09020
2016,01,門診,65+,宜蘭縣,228,22630,10002
2016,01,門診,65+,新竹縣,77,14001,10004
2016,01,門診,65+,苗栗縣,187,26066,10005
2016,01,門診,65+,彰化縣,747,65633,10007
2016,01,門診,65+,南投縣,144,25576,10008
2016,01,門診,65+,雲林縣,390,40585,10009
2016,01,門診,65+,嘉義縣,346,29063,10010
2016,01,門診,65+,屏東縣,519,50312,10013
2016,01,門診,65+,台東縣,59,11982,10014
2016,01,門診,65+,花蓮縣,150,20059,10015
2016,01,門診,65+,澎湖縣,5,8157,10016
2016,01,門診,65+,基隆市,172,22157,10017
2016,01,門診,65+,新竹市,232,21641,10018
2016,01,門診,65+,嘉義市,205,22147,10020
2016,01,門診,65+,台北市,1446,183748,63000
2016,01,門診,65+,高雄市,988,149345,64000
2016,01,門診,65+,新北市,956,133729,65000
2016,01,門診,65+,台中市,1198,123869,66000
2016,01,門診,65+,台南市,866,93023,67000
2016,01,門診,65+,桃園市,635,73592,68000
2016,01,門診,7~12,連江縣,0,35,09007
2016,01,門診,7~12,金門縣,5,912,09020
2016,01,門診,7~12,宜蘭縣,80,4048,10002
2016,01,門診,7~12,新竹縣,62,5773,10004
2016,01,門診,7~12,苗栗縣,123,4707,10005
2016,01,門診,7~12,彰化縣,431,13725,10007
2016,01,門診,7~12,南投縣,51,5036,10008
2016,01,門診,7~12,雲林縣,107,6770,10009
2016,01,門診,7~12,嘉義縣,51,3375,10010
2016,01,門診,7~12,屏東縣,226,7680,10013
2016,01,門診,7~12,台東縣,37,1416,10014
2016,01,門診,7~12,花蓮縣,63,2658,10015
2016,01,門診,7~12,澎湖縣,4,1107,10016
2016,01,門診,7~12,基隆市,104,3377,10017
2016,01,門診,7~12,新竹市,146,6312,10018
2016,01,門診,7~12,嘉義市,45,4250,10020
2016,01,門診,7~12,台北市,475,22561,63000
2016,01,門診,7~12,高雄市,605,27302,64000
2016,01,門診,7~12,新北市,809,42002,65000
2016,01,門診,7~12,台中市,1145,32129,66000
2016,01,門診,7~12,台南市,680,19298,67000
2016,01,門診,7~12,桃園市,564,21455,68000
2016,01,門診,不詳,連江縣,0,1,09007
2016,01,門診,不詳,金門縣,0,1,09020
2016,01,門診,不詳,彰化縣,0,9,10007
2016,01,門診,不詳,嘉義縣,0,1,10010
2016,01,門診,不詳,基隆市,0,1,10017
2016,01,門診,不詳,新竹市,0,1,10018
2016,01,門診,不詳,台北市,0,21,63000
2016,01,門診,不詳,新北市,0,5,65000
2016,01,門診,不詳,台中市,1,10,66000
2016,01,門診,不詳,台南市,0,3,67000
2016,01,門診,不詳,桃園市,0,8,68000
2016,02,住院,0~2,金門縣,0,1,09020
2016,02,住院,0~2,宜蘭縣,5,41,10002
2016,02,住院,0~2,新竹縣,1,1,10004
2016,02,住院,0~2,苗栗縣,3,6,10005
2016,02,住院,0~2,彰化縣,16,78,10007
2016,02,住院,0~2,南投縣,0,2,10008
2016,02,住院,0~2,雲林縣,1,9,10009
2016,02,住院,0~2,嘉義縣,4,8,10010
2016,02,住院,0~2,屏東縣,1,8,10013
2016,02,住院,0~2,台東縣,0,1,10014
2016,02,住院,0~2,花蓮縣,1,6,10015
2016,02,住院,0~2,基隆市,0,11,10017
2016,02,住院,0~2,新竹市,5,29,10018
2016,02,住院,0~2,嘉義市,0,1,10020
2016,02,住院,0~2,台北市,23,152,63000
2016,02,住院,0~2,高雄市,4,46,64000
2016,02,住院,0~2,新北市,15,38,65000
2016,02,住院,0~2,台中市,21,124,66000
2016,02,住院,0~2,台南市,2,25,67000
2016,02,住院,0~2,桃園市,6,43,68000
2016,02,住院,13~15,宜蘭縣,2,8,10002
2016,02,住院,13~15,新竹縣,0,1,10004
2016,02,住院,13~15,苗栗縣,3,6,10005
2016,02,住院,13~15,彰化縣,3,11,10007
2016,02,住院,13~15,南投縣,1,1,10008
2016,02,住院,13~15,雲林縣,4,8,10009
2016,02,住院,13~15,嘉義縣,0,1,10010
2016,02,住院,13~15,屏東縣,0,1,10013
2016,02,住院,13~15,花蓮縣,0,2,10015
2016,02,住院,13~15,基隆市,2,6,10017
2016,02,住院,13~15,新竹市,3,4,10018
2016,02,住院,13~15,嘉義市,0,1,10020
2016,02,住院,13~15,台北市,7,42,63000
2016,02,住院,13~15,高雄市,3,14,64000
2016,02,住院,13~15,新北市,5,12,65000
2016,02,住院,13~15,台中市,8,26,66000
2016,02,住院,13~15,台南市,0,5,67000
2016,02,住院,13~15,桃園市,2,11,68000
2016,02,住院,16~18,宜蘭縣,3,9,10002
2016,02,住院,16~18,新竹縣,0,2,10004
2016,02,住院,16~18,苗栗縣,2,8,10005
2016,02,住院,16~18,彰化縣,2,22,10007
2016,02,住院,16~18,南投縣,0,2,10008
2016,02,住院,16~18,雲林縣,0,6,10009
2016,02,住院,16~18,嘉義縣,0,2,10010
2016,02,住院,16~18,屏東縣,1,3,10013
2016,02,住院,16~18,花蓮縣,0,1,10015
2016,02,住院,16~18,基隆市,2,5,10017
2016,02,住院,16~18,新竹市,1,6,10018
2016,02,住院,16~18,台北市,7,58,63000
2016,02,住院,16~18,高雄市,0,21,64000
2016,02,住院,16~18,新北市,2,11,65000
2016,02,住院,16~18,台中市,3,31,66000
2016,02,住院,16~18,台南市,0,5,67000
2016,02,住院,16~18,桃園市,0,18,68000
2016,02,住院,19~24,宜蘭縣,2,16,10002
2016,02,住院,19~24,新竹縣,0,7,10004
2016,02,住院,19~24,苗栗縣,0,15,10005
2016,02,住院,19~24,彰化縣,7,61,10007
2016,02,住院,19~24,南投縣,0,12,10008
2016,02,住院,19~24,雲林縣,0,22,10009
2016,02,住院,19~24,嘉義縣,0,10,10010
2016,02,住院,19~24,屏東縣,0,15,10013
2016,02,住院,19~24,花蓮縣,0,21,10015
2016,02,住院,19~24,基隆市,1,6,10017
2016,02,住院,19~24,新竹市,0,33,10018
2016,02,住院,19~24,嘉義市,0,7,10020
2016,02,住院,19~24,台北市,17,215,63000
2016,02,住院,19~24,高雄市,3,93,64000
2016,02,住院,19~24,新北市,1,57,65000
2016,02,住院,19~24,台中市,3,136,66000
2016,02,住院,19~24,台南市,3,54,67000
2016,02,住院,19~24,桃園市,1,61,68000
2016,02,住院,25~64,金門縣,2,15,09020
2016,02,住院,25~64,宜蘭縣,5,276,10002
2016,02,住院,25~64,新竹縣,3,61,10004
2016,02,住院,25~64,苗栗縣,10,229,10005
2016,02,住院,25~64,彰化縣,40,929,10007
2016,02,住院,25~64,南投縣,9,118,10008
2016,02,住院,25~64,雲林縣,10,268,10009
2016,02,住院,25~64,嘉義縣,2,163,10010
2016,02,住院,25~64,屏東縣,7,210,10013
2016,02,住院,25~64,台東縣,0,8,10014
2016,02,住院,25~64,花蓮縣,5,149,10015
2016,02,住院,25~64,澎湖縣,0,2,10016
2016,02,住院,25~64,基隆市,5,158,10017
2016,02,住院,25~64,新竹市,6,511,10018
2016,02,住院,25~64,嘉義市,0,83,10020
2016,02,住院,25~64,台北市,261,4087,63000
2016,02,住院,25~64,高雄市,25,1462,64000
2016,02,住院,25~64,新北市,34,955,65000
2016,02,住院,25~64,台中市,57,1726,66000
2016,02,住院,25~64,台南市,17,1214,67000
2016,02,住院,25~64,桃園市,22,1032,68000
2016,02,住院,3~6,金門縣,1,1,09020
2016,02,住院,3~6,宜蘭縣,9,59,10002
2016,02,住院,3~6,新竹縣,3,5,10004
2016,02,住院,3~6,苗栗縣,5,11,10005
2016,02,住院,3~6,彰化縣,26,89,10007
2016,02,住院,3~6,南投縣,2,9,10008
2016,02,住院,3~6,雲林縣,1,6,10009
2016,02,住院,3~6,嘉義縣,3,6,10010
2016,02,住院,3~6,屏東縣,1,9,10013
2016,02,住院,3~6,花蓮縣,0,4,10015
2016,02,住院,3~6,基隆市,2,13,10017
2016,02,住院,3~6,新竹市,9,26,10018
2016,02,住院,3~6,嘉義市,0,3,10020
2016,02,住院,3~6,台北市,51,171,63000
2016,02,住院,3~6,高雄市,9,56,64000
2016,02,住院,3~6,新北市,25,42,65000
2016,02,住院,3~6,台中市,28,106,66000
2016,02,住院,3~6,台南市,7,15,67000
2016,02,住院,3~6,桃園市,25,57,68000
2016,02,住院,65+,金門縣,1,9,09020
2016,02,住院,65+,宜蘭縣,16,250,10002
2016,02,住院,65+,新竹縣,3,44,10004
2016,02,住院,65+,苗栗縣,10,236,10005
2016,02,住院,65+,彰化縣,79,676,10007
2016,02,住院,65+,南投縣,27,116,10008
2016,02,住院,65+,雲林縣,24,282,10009
2016,02,住院,65+,嘉義縣,2,165,10010
2016,02,住院,65+,屏東縣,5,123,10013
2016,02,住院,65+,台東縣,0,3,10014
2016,02,住院,65+,花蓮縣,4,96,10015
2016,02,住院,65+,澎湖縣,0,1,10016
2016,02,住院,65+,基隆市,11,132,10017
2016,02,住院,65+,新竹市,7,299,10018
2016,02,住院,65+,嘉義市,0,24,10020
2016,02,住院,65+,台北市,261,2902,63000
2016,02,住院,65+,高雄市,48,838,64000
2016,02,住院,65+,新北市,72,509,65000
2016,02,住院,65+,台中市,125,1136,66000
2016,02,住院,65+,台南市,42,724,67000
2016,02,住院,65+,桃園市,59,610,68000
2016,02,住院,7~12,宜蘭縣,6,28,10002
2016,02,住院,7~12,新竹縣,0,3,10004
2016,02,住院,7~12,苗栗縣,5,12,10005
2016,02,住院,7~12,彰化縣,16,44,10007
2016,02,住院,7~12,南投縣,1,3,10008
2016,02,住院,7~12,雲林縣,1,7,10009
2016,02,住院,7~12,嘉義縣,2,4,10010
2016,02,住院,7~12,屏東縣,1,1,10013
2016,02,住院,7~12,基隆市,3,5,10017
2016,02,住院,7~12,新竹市,6,9,10018
2016,02,住院,7~12,台北市,25,103,63000
2016,02,住院,7~12,高雄市,4,29,64000
2016,02,住院,7~12,新北市,13,19,65000
2016,02,住院,7~12,台中市,40,71,66000
2016,02,住院,7~12,台南市,3,10,67000
2016,02,住院,7~12,桃園市,16,38,68000
2016,02,住院,不詳,台北市,1,3,63000
2016,02,住院,不詳,台中市,0,1,66000
2016,02,門診,0~2,連江縣,0,16,09007
2016,02,門診,0~2,金門縣,3,368,09020
2016,02,門診,0~2,宜蘭縣,59,2238,10002
2016,02,門診,0~2,新竹縣,43,3327,10004
2016,02,門診,0~2,苗栗縣,69,2796,10005
2016,02,門診,0~2,彰化縣,227,7423,10007
2016,02,門診,0~2,南投縣,20,2536,10008
2016,02,門診,0~2,雲林縣,79,3444,10009
2016,02,門診,0~2,嘉義縣,20,1263,10010
2016,02,門診,0~2,屏東縣,124,4114,10013
2016,02,門診,0~2,台東縣,31,789,10014
2016,02,門診,0~2,花蓮縣,44,1609,10015
2016,02,門診,0~2,澎湖縣,3,429,10016
2016,02,門診,0~2,基隆市,32,1678,10017
2016,02,門診,0~2,新竹市,126,4121,10018
2016,02,門診,0~2,嘉義市,21,2259,10020
2016,02,門診,0~2,台北市,272,12436,63000
2016,02,門診,0~2,高雄市,383,14797,64000
2016,02,門診,0~2,新北市,395,23568,65000
2016,02,門診,0~2,台中市,690,18660,66000
2016,02,門診,0~2,台南市,344,10122,67000
2016,02,門診,0~2,桃園市,286,12574,68000
2016,02,門診,13~15,連江縣,0,11,09007
2016,02,門診,13~15,金門縣,0,329,09020
2016,02,門診,13~15,宜蘭縣,96,1976,10002
2016,02,門診,13~15,新竹縣,33,1986,10004
2016,02,門診,13~15,苗栗縣,58,1908,10005
2016,02,門診,13~15,彰化縣,225,5625,10007
2016,02,門診,13~15,南投縣,92,2256,10008
2016,02,門診,13~15,雲林縣,119,3369,10009
2016,02,門診,13~15,嘉義縣,34,1689,10010
2016,02,門診,13~15,屏東縣,63,2932,10013
2016,02,門診,13~15,台東縣,9,706,10014
2016,02,門診,13~15,花蓮縣,37,1186,10015
2016,02,門診,13~15,澎湖縣,0,553,10016
2016,02,門診,13~15,基隆市,38,1596,10017
2016,02,門診,13~15,新竹市,68,2188,10018
2016,02,門診,13~15,嘉義市,28,1872,10020
2016,02,門診,13~15,台北市,298,9584,63000
2016,02,門診,13~15,高雄市,190,9840,64000
2016,02,門診,13~15,新北市,593,17877,65000
2016,02,門診,13~15,台中市,571,12764,66000
2016,02,門診,13~15,台南市,243,7644,67000
2016,02,門診,13~15,桃園市,353,9204,68000
2016,02,門診,16~18,連江縣,0,19,09007
2016,02,門診,16~18,金門縣,3,382,09020
2016,02,門診,16~18,宜蘭縣,40,1706,10002
2016,02,門診,16~18,新竹縣,37,1871,10004
2016,02,門診,16~18,苗栗縣,47,2049,10005
2016,02,門診,16~18,彰化縣,216,5769,10007
2016,02,門診,16~18,南投縣,30,1917,10008
2016,02,門診,16~18,雲林縣,86,3349,10009
2016,02,門診,16~18,嘉義縣,29,1584,10010
2016,02,門診,16~18,屏東縣,88,3035,10013
2016,02,門診,16~18,台東縣,5,706,10014
2016,02,門診,16~18,花蓮縣,28,1279,10015
2016,02,門診,16~18,澎湖縣,1,480,10016
2016,02,門診,16~18,基隆市,32,1766,10017
2016,02,門診,16~18,新竹市,49,2173,10018
2016,02,門診,16~18,嘉義市,33,2098,10020
2016,02,門診,16~18,台北市,198,10475,63000
2016,02,門診,16~18,高雄市,144,10949,64000
2016,02,門診,16~18,新北市,353,18475,65000
2016,02,門診,16~18,台中市,480,13533,66000
2016,02,門診,16~18,台南市,167,7878,67000
2016,02,門診,16~18,桃園市,236,9492,68000
2016,02,門診,19~24,連江縣,1,161,09007
2016,02,門診,19~24,金門縣,0,644,09020
2016,02,門診,19~24,宜蘭縣,53,3047,10002
2016,02,門診,19~24,新竹縣,15,3099,10004
2016,02,門診,19~24,苗栗縣,45,3453,10005
2016,02,門診,19~24,彰化縣,197,9907,10007
2016,02,門診,19~24,南投縣,28,3121,10008
2016,02,門診,19~24,雲林縣,58,4901,10009
2016,02,門診,19~24,嘉義縣,28,2715,10010
2016,02,門診,19~24,屏東縣,94,5710,10013
2016,02,門診,19~24,台東縣,3,1121,10014
