年,週,就診類別,年齡別,縣市,水痘健保就診人次,健保就診總人次,縣市別代碼
2016,01,住院,25~64,苗栗縣,0,191,10005
2016,01,住院,25~64,彰化縣,0,871,10007
2016,01,住院,25~64,南投縣,0,95,10008
2016,01,住院,25~64,雲林縣,0,221,10009
2016,01,住院,25~64,嘉義縣,0,111,10010
2016,01,住院,25~64,屏東縣,0,225,10013
2016,01,住院,25~64,台東縣,0,12,10014
2016,01,住院,25~64,花蓮縣,0,184,10015
2016,01,住院,25~64,澎湖縣,0,1,10016
2016,01,住院,25~64,基隆市,0,85,10017
2016,01,住院,25~64,新竹市,0,447,10018
2016,01,住院,25~64,嘉義市,0,32,10020
2016,01,住院,25~64,台北市,0,4136,63000
2016,01,住院,25~64,高雄市,1,1019,64000
2016,01,住院,25~64,新北市,0,961,65000
2016,01,住院,25~64,台中市,0,1610,66000
2016,01,住院,25~64,台南市,0,1012,67000
2016,01,住院,25~64,桃園市,0,562,68000
2016,01,住院,3~6,宜蘭縣,0,36,10002
2016,01,住院,3~6,新竹縣,0,2,10004
2016,01,住院,3~6,苗栗縣,0,12,10005
2016,01,住院,3~6,彰化縣,0,80,10007
2016,01,住院,3~6,南投縣,0,8,10008
2016,01,住院,3~6,雲林縣,0,12,10009
2016,01,住院,3~6,嘉義縣,0,12,10010
2016,01,住院,3~6,屏東縣,0,6,10013
2016,01,住院,3~6,台東縣,0,4,10014
2016,01,住院,3~6,花蓮縣,0,9,10015
2016,01,住院,3~6,基隆市,0,11,10017
2016,01,住院,3~6,新竹市,0,21,10018
2016,01,住院,3~6,台北市,0,179,63000
2016,01,住院,3~6,高雄市,0,46,64000
2016,01,住院,3~6,新北市,0,48,65000
2016,01,住院,3~6,台中市,0,87,66000
2016,01,住院,3~6,台南市,0,16,67000
2016,01,住院,3~6,桃園市,0,41,68000
2016,01,住院,65+,宜蘭縣,0,215,10002
2016,01,住院,65+,新竹縣,0,73,10004
2016,01,住院,65+,苗栗縣,0,197,10005
2016,01,住院,65+,彰化縣,0,688,10007
2016,01,住院,65+,南投縣,0,141,10008
2016,01,住院,65+,雲林縣,0,218,10009
2016,01,住院,65+,嘉義縣,0,154,10010
2016,01,住院,65+,屏東縣,0,136,10013
2016,01,住院,65+,台東縣,0,1,10014
2016,01,住院,65+,花蓮縣,0,91,10015
2016,01,住院,65+,澎湖縣,0,1,10016
2016,01,住院,65+,基隆市,0,64,10017
2016,01,住院,65+,新竹市,0,275,10018
2016,01,住院,65+,嘉義市,0,16,10020
2016,01,住院,65+,台北市,0,2883,63000
2016,01,住院,65+,高雄市,0,516,64000
2016,01,住院,65+,新北市,0,529,65000
2016,01,住院,65+,台中市,0,1023,66000
2016,01,住院,65+,台南市,0,580,67000
2016,01,住院,65+,桃園市,0,269,68000
2016,01,住院,7~12,宜蘭縣,0,32,10002
2016,01,住院,7~12,新竹縣,0,1,10004
2016,01,住院,7~12,苗栗縣,0,9,10005
2016,01,住院,7~12,彰化縣,0,32,10007
2016,01,住院,7~12,南投縣,0,4,10008
2016,01,住院,7~12,雲林縣,0,7,10009
2016,01,住院,7~12,嘉義縣,0,4,10010
2016,01,住院,7~12,屏東縣,0,4,10013
2016,01,住院,7~12,台東縣,0,1,10014
2016,01,住院,7~12,花蓮縣,0,2,10015
2016,01,住院,7~12,新竹市,0,13,10018
2016,01,住院,7~12,台北市,0,104,63000
2016,01,住院,7~12,高雄市,0,26,64000
2016,01,住院,7~12,新北市,0,23,65000
2016,01,住院,7~12,台中市,0,57,66000
2016,01,住院,7~12,台南市,0,10,67000
2016,01,住院,7~12,桃園市,0,26,68000
2016,01,門診,0~2,連江縣,0,22,09007
2016,01,門診,0~2,金門縣,0,389,09020
2016,01,門診,0~2,宜蘭縣,1,2203,10002
2016,01,門診,0~2,新竹縣,2,3335,10004
2016,01,門診,0~2,苗栗縣,0,2843,10005
2016,01,門診,0~2,彰化縣,0,7785,10007
2016,01,門診,0~2,南投縣,1,2561,10008
2016,01,門診,0~2,雲林縣,0,3467,10009
2016,01,門診,0~2,嘉義縣,3,1313,10010
2016,01,門診,0~2,屏東縣,1,4237,10013
2016,01,門診,0~2,台東縣,0,766,10014
2016,01,門診,0~2,花蓮縣,0,1666,10015
2016,01,門診,0~2,澎湖縣,0,382,10016
2016,01,門診,0~2,基隆市,0,1809,10017
2016,01,門診,0~2,新竹市,0,4135,10018
2016,01,門診,0~2,嘉義市,0,2221,10020
2016,01,門診,0~2,台北市,6,11700,63000
2016,01,門診,0~2,高雄市,4,15802,64000
2016,01,門診,0~2,新北市,13,23953,65000
2016,01,門診,0~2,台中市,12,18378,66000
2016,01,門診,0~2,台南市,0,10495,67000
2016,01,門診,0~2,桃園市,3,12282,68000
2016,01,門診,13~15,連江縣,0,18,09007
2016,01,門診,13~15,金門縣,0,396,09020
2016,01,門診,13~15,宜蘭縣,0,2138,10002
2016,01,門診,13~15,新竹縣,5,2049,10004
2016,01,門診,13~15,苗栗縣,0,2107,10005
2016,01,門診,13~15,彰化縣,5,5977,10007
2016,01,門診,13~15,南投縣,0,2212,10008
2016,01,門診,13~15,雲林縣,0,3448,10009
2016,01,門診,13~15,嘉義縣,0,1791,10010
2016,01,門診,13~15,屏東縣,5,3425,10013
2016,01,門診,13~15,台東縣,0,753,10014
2016,01,門診,13~15,花蓮縣,4,1207,10015
2016,01,門診,13~15,澎湖縣,0,582,10016
2016,01,門診,13~15,基隆市,0,1761,10017
2016,01,門診,13~15,新竹市,8,2291,10018
2016,01,門診,13~15,嘉義市,2,2009,10020
2016,01,門診,13~15,台北市,9,10328,63000
2016,01,門診,13~15,高雄市,9,11362,64000
2016,01,門診,13~15,新北市,13,17781,65000
2016,01,門診,13~15,台中市,16,13283,66000
2016,01,門診,13~15,台南市,9,7753,67000
2016,01,門診,13~15,桃園市,14,8975,68000
2016,01,門診,16~18,連江縣,2,17,09007
2016,01,門診,16~18,金門縣,0,462,09020
2016,01,門診,16~18,宜蘭縣,0,1881,10002
2016,01,門診,16~18,新竹縣,5,2098,10004
2016,01,門診,16~18,苗栗縣,1,2220,10005
2016,01,門診,16~18,彰化縣,4,6011,10007
2016,01,門診,16~18,南投縣,1,2064,10008
2016,01,門診,16~18,雲林縣,0,3372,10009
2016,01,門診,16~18,嘉義縣,0,1682,10010
2016,01,門診,16~18,屏東縣,4,3433,10013
2016,01,門診,16~18,台東縣,1,838,10014
2016,01,門診,16~18,花蓮縣,3,1453,10015
2016,01,門診,16~18,澎湖縣,0,503,10016
2016,01,門診,16~18,基隆市,2,1901,10017
2016,01,門診,16~18,新竹市,0,2326,10018
2016,01,門診,16~18,嘉義市,0,2210,10020
2016,01,門診,16~18,台北市,5,11214,63000
2016,01,門診,16~18,高雄市,5,12357,64000
2016,01,門診,16~18,新北市,10,19091,65000
2016,01,門診,16~18,台中市,6,14410,66000
2016,01,門診,16~18,台南市,8,8059,67000
2016,01,門診,16~18,桃園市,6,9659,68000
2016,01,門診,19~24,連江縣,0,149,09007
2016,01,門診,19~24,金門縣,0,707,09020
2016,01,門診,19~24,宜蘭縣,1,3038,10002
2016,01,門診,19~24,新竹縣,3,3233,10004
2016,01,門診,19~24,苗栗縣,2,3485,10005
2016,01,門診,19~24,彰化縣,4,9356,10007
2016,01,門診,19~24,南投縣,0,2791,10008
2016,01,門診,19~24,雲林縣,1,4817,10009
2016,01,門診,19~24,嘉義縣,4,2791,10010
2016,01,門診,19~24,屏東縣,0,5931,10013
2016,01,門診,19~24,台東縣,1,1149,10014
2016,01,門診,19~24,花蓮縣,0,2724,10015
2016,01,門診,19~24,澎湖縣,2,982,10016
2016,01,門診,19~24,基隆市,2,3090,10017
2016,01,門診,19~24,新竹市,2,4740,10018
2016,01,門診,19~24,嘉義市,2,3585,10020
2016,01,門診,19~24,台北市,9,26699,63000
2016,01,門診,19~24,高雄市,7,25309,64000
2016,01,門診,19~24,新北市,10,34598,65000
2016,01,門診,19~24,台中市,12,31206,66000
2016,01,門診,19~24,台南市,14,17503,67000
2016,01,門診,19~24,桃園市,11,16547,68000
2016,01,門診,25~64,連江縣,0,704,09007
2016,01,門診,25~64,金門縣,0,7827,09020
2016,01,門診,25~64,宜蘭縣,4,38176,10002
2016,01,門診,25~64,新竹縣,5,40084,10004
2016,01,門診,25~64,苗栗縣,4,44701,10005
2016,01,門診,25~64,彰化縣,4,124766,10007
2016,01,門診,25~64,南投縣,2,41622,10008
2016,01,門診,25~64,雲林縣,0,65096,10009
2016,01,門診,25~64,嘉義縣,2,35904,10010
2016,01,門診,25~64,屏東縣,4,78079,10013
2016,01,門診,25~64,台東縣,0,18610,10014
2016,01,門診,25~64,花蓮縣,4,35077,10015
2016,01,門診,25~64,澎湖縣,2,12126,10016
2016,01,門診,25~64,基隆市,3,42074,10017
2016,01,門診,25~64,新竹市,4,59281,10018
2016,01,門診,25~64,嘉義市,3,44973,10020
2016,01,門診,25~64,台北市,24,342593,63000
2016,01,門診,25~64,高雄市,21,309141,64000
2016,01,門診,25~64,新北市,25,399323,65000
2016,01,門診,25~64,台中市,30,316757,66000
2016,01,門診,25~64,台南市,27,201124,67000
2016,01,門診,25~64,桃園市,11,201816,68000
2016,01,門診,3~6,連江縣,0,45,09007
2016,01,門診,3~6,金門縣,0,832,09020
2016,01,門診,3~6,宜蘭縣,0,4648,10002
2016,01,門診,3~6,新竹縣,2,6557,10004
2016,01,門診,3~6,苗栗縣,0,5868,10005
2016,01,門診,3~6,彰化縣,4,15319,10007
2016,01,門診,3~6,南投縣,0,5476,10008
2016,01,門診,3~6,雲林縣,0,7416,10009
2016,01,門診,3~6,嘉義縣,0,3111,10010
2016,01,門診,3~6,屏東縣,1,8590,10013
2016,01,門診,3~6,台東縣,0,1496,10014
2016,01,門診,3~6,花蓮縣,0,3272,10015
2016,01,門診,3~6,澎湖縣,0,954,10016
2016,01,門診,3~6,基隆市,0,3728,10017
2016,01,門診,3~6,新竹市,0,7432,10018
2016,01,門診,3~6,嘉義市,0,4931,10020
2016,01,門診,3~6,台北市,2,24344,63000
2016,01,門診,3~6,高雄市,3,30108,64000
2016,01,門診,3~6,新北市,15,48734,65000
2016,01,門診,3~6,台中市,12,37780,66000
2016,01,門診,3~6,台南市,4,21674,67000
2016,01,門診,3~6,桃園市,8,23539,68000
2016,01,門診,65+,連江縣,0,283,09007
2016,01,門診,65+,金門縣,0,3814,09020
2016,01,門診,65+,宜蘭縣,0,22630,10002
2016,01,門診,65+,新竹縣,3,14001,10004
2016,01,門診,65+,苗栗縣,0,26066,10005
2016,01,門診,65+,彰化縣,0,65633,10007
2016,01,門診,65+,南投縣,0,25576,10008
2016,01,門診,65+,雲林縣,0,40585,10009
2016,01,門診,65+,嘉義縣,0,29063,10010
2016,01,門診,65+,屏東縣,1,50312,10013
2016,01,門診,65+,台東縣,0,11982,10014
2016,01,門診,65+,花蓮縣,0,20059,10015
2016,01,門診,65+,澎湖縣,0,8157,10016
2016,01,門診,65+,基隆市,0,22157,10017
2016,01,門診,65+,新竹市,0,21641,10018
2016,01,門診,65+,嘉義市,0,22147,10020
2016,01,門診,65+,台北市,0,183748,63000
2016,01,門診,65+,高雄市,0,149345,64000
2016,01,門診,65+,新北市,1,133729,65000
2016,01,門診,65+,台中市,1,123869,66000
2016,01,門診,65+,台南市,3,93023,67000
2016,01,門診,65+,桃園市,3,73592,68000
2016,01,門診,7~12,連江縣,0,35,09007
2016,01,門診,7~12,金門縣,0,912,09020
2016,01,門診,7~12,宜蘭縣,2,4048,10002
2016,01,門診,7~12,新竹縣,1,5773,10004
2016,01,門診,7~12,苗栗縣,0,4707,10005
2016,01,門診,7~12,彰化縣,6,13725,10007
2016,01,門診,7~12,南投縣,1,5036,10008
2016,01,門診,7~12,雲林縣,3,6770,10009
2016,01,門診,7~12,嘉義縣,2,3375,10010
2016,01,門診,7~12,屏東縣,3,7680,10013
2016,01,門診,7~12,台東縣,0,1416,10014
2016,01,門診,7~12,花蓮縣,2,2658,10015
2016,01,門診,7~12,澎湖縣,0,1107,10016
2016,01,門診,7~12,基隆市,1,3377,10017
2016,01,門診,7~12,新竹市,1,6312,10018
2016,01,門診,7~12,嘉義市,0,4250,10020
2016,01,門診,7~12,台北市,15,22561,63000
2016,01,門診,7~12,高雄市,7,27302,64000
2016,01,門診,7~12,新北市,14,42002,65000
2016,01,門診,7~12,台中市,11,32129,66000
2016,01,門診,7~12,台南市,9,19298,67000
2016,01,門診,7~12,桃園市,5,21455,68000
2016,01,門診,不詳,連江縣,0,1,09007
2016,01,門診,不詳,金門縣,0,1,09020
2016,01,門診,不詳,彰化縣,0,9,10007
2016,01,門診,不詳,嘉義縣,0,1,10010
2016,01,門診,不詳,基隆市,0,1,10017
2016,01,門診,不詳,新竹市,0,1,10018
2016,01,門診,不詳,台北市,0,21,63000
2016,01,門診,不詳,新北市,0,5,65000
2016,01,門診,不詳,台中市,0,10,66000
2016,01,門診,不詳,台南市,0,3,67000
2016,01,門診,不詳,桃園市,0,8,68000
2016,02,住院,0~2,金門縣,0,1,09020
2016,02,住院,0~2,宜蘭縣,0,41,10002
2016,02,住院,0~2,新竹縣,0,1,10004
2016,02,住院,0~2,苗栗縣,0,6,10005
2016,02,住院,0~2,彰化縣,0,78,10007
2016,02,住院,0~2,南投縣,0,2,10008
2016,02,住院,0~2,雲林縣,0,9,10009
2016,02,住院,0~2,嘉義縣,0,8,10010
2016,02,住院,0~2,屏東縣,0,8,10013
2016,02,住院,0~2,台東縣,0,1,10014
2016,02,住院,0~2,花蓮縣,0,6,10015
2016,02,住院,0~2,基隆市,0,11,10017
2016,02,住院,0~2,新竹市,0,29,10018
2016,02,住院,0~2,嘉義市,0,1,10020
2016,02,住院,0~2,台北市,0,152,63000
2016,02,住院,0~2,高雄市,0,46,64000
2016,02,住院,0~2,新北市,0,38,65000
2016,02,住院,0~2,台中市,0,124,66000
2016,02,住院,0~2,台南市,0,25,67000
2016,02,住院,0~2,桃園市,0,43,68000
2016,02,住院,13~15,宜蘭縣,0,8,10002
2016,02,住院,13~15,新竹縣,0,1,10004
2016,02,住院,13~15,苗栗縣,0,6,10005
2016,02,住院,13~15,彰化縣,0,11,10007
2016,02,住院,13~15,南投縣,0,1,10008
2016,02,住院,13~15,雲林縣,0,8,10009
2016,02,住院,13~15,嘉義縣,0,1,10010
2016,02,住院,13~15,屏東縣,0,1,10013
2016,02,住院,13~15,花蓮縣,0,2,10015
2016,02,住院,13~15,基隆市,0,6,10017
2016,02,住院,13~15,新竹市,0,4,10018
2016,02,住院,13~15,嘉義市,0,1,10020
2016,02,住院,13~15,台北市,0,42,63000
2016,02,住院,13~15,高雄市,0,14,64000
2016,02,住院,13~15,新北市,0,12,65000
2016,02,住院,13~15,台中市,0,26,66000
2016,02,住院,13~15,台南市,0,5,67000
2016,02,住院,13~15,桃園市,0,11,68000
2016,02,住院,16~18,宜蘭縣,0,9,10002
2016,02,住院,16~18,新竹縣,0,2,10004
2016,02,住院,16~18,苗栗縣,0,8,10005
2016,02,住院,16~18,彰化縣,0,22,10007
2016,02,住院,16~18,南投縣,0,2,10008
2016,02,住院,16~18,雲林縣,0,6,10009
2016,02,住院,16~18,嘉義縣,0,2,10010
2016,02,住院,16~18,屏東縣,0,3,10013
2016,02,住院,16~18,花蓮縣,0,1,10015
2016,02,住院,16~18,基隆市,0,5,10017
2016,02,住院,16~18,新竹市,0,6,10018
2016,02,住院,16~18,台北市,0,58,63000
2016,02,住院,16~18,高雄市,0,21,64000
2016,02,住院,16~18,新北市,0,11,65000
2016,02,住院,16~18,台中市,0,31,66000
2016,02,住院,16~18,台南市,0,5,67000
2016,02,住院,16~18,桃園市,0,18,68000
2016,02,住院,19~24,宜蘭縣,0,16,10002
2016,02,住院,19~24,新竹縣,0,7,10004
2016,02,住院,19~24,苗栗縣,0,15,10005
2016,02,住院,19~24,彰化縣,0,61,10007
2016,02,住院,19~24,南投縣,0,12,10008
2016,02,住院,19~24,雲林縣,0,22,10009
2016,02,住院,19~24,嘉義縣,0,10,10010
2016,02,住院,19~24,屏東縣,0,15,10013
2016,02,住院,19~24,花蓮縣,0,21,10015
2016,02,住院,19~24,基隆市,0,6,10017
2016,02,住院,19~24,新竹市,0,33,10018
2016,02,住院,19~24,嘉義市,0,7,10020
2016,02,住院,19~24,台北市,0,215,63000
2016,02,住院,19~24,高雄市,0,93,64000
2016,02,住院,19~24,新北市,0,57,65000
2016,02,住院,19~24,台中市,0,136,66000
2016,02,住院,19~24,台南市,0,54,67000
2016,02,住院,19~24,桃園市,0,61,68000
2016,02,住院,25~64,金門縣,0,15,09020
2016,02,住院,25~64,宜蘭縣,0,276,10002
2016,02,住院,25~64,新竹縣,0,61,10004
2016,02,住院,25~64,苗栗縣,0,229,10005
2016,02,住院,25~64,彰化縣,0,929,10007
2016,02,住院,25~64,南投縣,0,118,10008
2016,02,住院,25~64,雲林縣,0,268,10009
2016,02,住院,25~64,嘉義縣,0,163,10010
2016,02,住院,25~64,屏東縣,0,210,10013
2016,02,住院,25~64,台東縣,0,8,10014
2016,02,住院,25~64,花蓮縣,0,149,10015
2016,02,住院,25~64,澎湖縣,0,2,10016
2016,02,住院,25~64,基隆市,0,158,10017
2016,02,住院,25~64,新竹市,1,511,10018
2016,02,住院,25~64,嘉義市,0,83,10020
2016,02,住院,25~64,台北市,1,4087,63000
2016,02,住院,25~64,高雄市,0,1462,64000
2016,02,住院,25~64,新北市,0,955,65000
2016,02,住院,25~64,台中市,1,1726,66000
2016,02,住院,25~64,台南市,0,1214,67000
2016,02,住院,25~64,桃園市,0,1032,68000
2016,02,住院,3~6,金門縣,0,1,09020
2016,02,住院,3~6,宜蘭縣,0,59,10002
2016,02,住院,3~6,新竹縣,0,5,10004
2016,02,住院,3~6,苗栗縣,0,11,10005
2016,02,住院,3~6,彰化縣,0,89,10007
2016,02,住院,3~6,南投縣,0,9,10008
2016,02,住院,3~6,雲林縣,0,6,10009
2016,02,住院,3~6,嘉義縣,0,6,10010
2016,02,住院,3~6,屏東縣,0,9,10013
2016,02,住院,3~6,花蓮縣,0,4,10015
2016,02,住院,3~6,基隆市,0,13,10017
2016,02,住院,3~6,新竹市,0,26,10018
2016,02,住院,3~6,嘉義市,0,3,10020
2016,02,住院,3~6,台北市,0,171,63000
2016,02,住院,3~6,高雄市,0,56,64000
2016,02,住院,3~6,新北市,0,42,65000
2016,02,住院,3~6,台中市,0,106,66000
2016,02,住院,3~6,台南市,0,15,67000
2016,02,住院,3~6,桃園市,0,57,68000
2016,02,住院,65+,金門縣,0,9,09020
2016,02,住院,65+,宜蘭縣,0,250,10002
2016,02,住院,65+,新竹縣,0,44,10004
2016,02,住院,65+,苗栗縣,0,236,10005
2016,02,住院,65+,彰化縣,0,676,10007
2016,02,住院,65+,南投縣,0,116,10008
2016,02,住院,65+,雲林縣,0,282,10009
2016,02,住院,65+,嘉義縣,0,165,10010
2016,02,住院,65+,屏東縣,0,123,10013
2016,02,住院,65+,台東縣,0,3,10014
2016,02,住院,65+,花蓮縣,0,96,10015
2016,02,住院,65+,澎湖縣,0,1,10016
2016,02,住院,65+,基隆市,0,132,10017
2016,02,住院,65+,新竹市,0,299,10018
2016,02,住院,65+,嘉義市,0,24,10020
2016,02,住院,65+,台北市,0,2902,63000
2016,02,住院,65+,高雄市,0,838,64000
2016,02,住院,65+,新北市,0,509,65000
2016,02,住院,65+,台中市,0,1136,66000
2016,02,住院,65+,台南市,0,724,67000
2016,02,住院,65+,桃園市,0,610,68000
2016,02,住院,7~12,宜蘭縣,0,28,10002
2016,02,住院,7~12,新竹縣,0,3,10004
2016,02,住院,7~12,苗栗縣,0,12,10005
2016,02,住院,7~12,彰化縣,0,44,10007
2016,02,住院,7~12,南投縣,0,3,10008
2016,02,住院,7~12,雲林縣,0,7,10009
2016,02,住院,7~12,嘉義縣,0,4,10010
2016,02,住院,7~12,屏東縣,0,1,10013
2016,02,住院,7~12,基隆市,0,5,10017
2016,02,住院,7~12,新竹市,0,9,10018
2016,02,住院,7~12,台北市,0,103,63000
2016,02,住院,7~12,高雄市,0,29,64000
2016,02,住院,7~12,新北市,0,19,65000
2016,02,住院,7~12,台中市,0,71,66000
2016,02,住院,7~12,台南市,0,10,67000
2016,02,住院,7~12,桃園市,0,38,68000
2016,02,住院,不詳,台北市,0,3,63000
2016,02,住院,不詳,台中市,0,1,66000
2016,02,門診,0~2,連江縣,0,16,09007
2016,02,門診,0~2,金門縣,0,368,09020
2016,02,門診,0~2,宜蘭縣,0,2238,10002
2016,02,門診,0~2,新竹縣,0,3327,10004
2016,02,門診,0~2,苗栗縣,0,2796,10005
2016,02,門診,0~2,彰化縣,4,7423,10007
2016,02,門診,0~2,南投縣,0,2536,10008
2016,02,門診,0~2,雲林縣,2,3444,10009
2016,02,門診,0~2,嘉義縣,1,1263,10010
2016,02,門診,0~2,屏東縣,1,4114,10013
2016,02,門診,0~2,台東縣,0,789,10014
2016,02,門診,0~2,花蓮縣,0,1609,10015
2016,02,門診,0~2,澎湖縣,0,429,10016
2016,02,門診,0~2,基隆市,0,1678,10017
2016,02,門診,0~2,新竹市,0,4121,10018
2016,02,門診,0~2,嘉義市,0,2259,10020
2016,02,門診,0~2,台北市,3,12436,63000
2016,02,門診,0~2,高雄市,2,14797,64000
2016,02,門診,0~2,新北市,12,23568,65000
2016,02,門診,0~2,台中市,9,18660,66000
2016,02,門診,0~2,台南市,2,10122,67000
2016,02,門診,0~2,桃園市,2,12574,68000
2016,02,門診,13~15,連江縣,0,11,09007
2016,02,門診,13~15,金門縣,0,329,09020
2016,02,門診,13~15,宜蘭縣,0,1976,10002
2016,02,門診,13~15,新竹縣,2,1986,10004
2016,02,門診,13~15,苗栗縣,1,1908,10005
2016,02,門診,13~15,彰化縣,6,5625,10007
2016,02,門診,13~15,南投縣,0,2256,10008
2016,02,門診,13~15,雲林縣,0,3369,10009
2016,02,門診,13~15,嘉義縣,0,1689,10010
2016,02,門診,13~15,屏東縣,2,2932,10013
2016,02,門診,13~15,台東縣,0,706,10014
2016,02,門診,13~15,花蓮縣,3,1186,10015
2016,02,門診,13~15,澎湖縣,0,553,10016
2016,02,門診,13~15,基隆市,0,1596,10017
2016,02,門診,13~15,新竹市,3,2188,10018
2016,02,門診,13~15,嘉義市,0,1872,10020
2016,02,門診,13~15,台北市,3,9584,63000
2016,02,門診,13~15,高雄市,8,9840,64000
2016,02,門診,13~15,新北市,10,17877,65000
2016,02,門診,13~15,台中市,18,12764,66000
2016,02,門診,13~15,台南市,7,7644,67000
2016,02,門診,13~15,桃園市,8,9204,68000
2016,02,門診,16~18,連江縣,0,19,09007
2016,02,門診,16~18,金門縣,0,382,09020
2016,02,門診,16~18,宜蘭縣,0,1706,10002
2016,02,門診,16~18,新竹縣,4,1871,10004
2016,02,門診,16~18,苗栗縣,0,2049,10005
2016,02,門診,16~18,彰化縣,8,5769,10007
2016,02,門診,16~18,南投縣,2,1917,10008
2016,02,門診,16~18,雲林縣,5,3349,10009
2016,02,門診,16~18,嘉義縣,0,1584,10010
2016,02,門診,16~18,屏東縣,3,3035,10013
2016,02,門診,16~18,台東縣,0,706,10014
2016,02,門診,16~18,花蓮縣,1,1279,10015
2016,02,門診,16~18,澎湖縣,0,480,10016
2016,02,門診,16~18,基隆市,0,1766,10017
2016,02,門診,16~18,新竹市,3,2173,10018
2016,02,門診,16~18,嘉義市,3,2098,10020
2016,02,門診,16~18,台北市,8,10475,63000
2016,02,門診,16~18,高雄市,3,10949,64000
2016,02,門診,16~18,新北市,4,18475,65000
2016,02,門診,16~18,台中市,14,13533,66000
2016,02,門診,16~18,台南市,5,7878,67000
2016,02,門診,16~18,桃園市,5,9492,68000
2016,02,門診,19~24,連江縣,0,161,09007
2016,02,門診,19~24,金門縣,0,644,09020
2016,02,門診,19~24,宜蘭縣,1,3047,10002
2016,02,門診,19~24,新竹縣,3,3099,10004
2016,02,門診,19~24,苗栗縣,8,3453,10005
2016,02,門診,19~24,彰化縣,12,9907,10007
2016,02,門診,19~24,南投縣,1,3121,10008
2016,02,門診,19~24,雲林縣,2,4901,10009
2016,02,門診,19~24,嘉義縣,1,2715,10010
2016,02,門診,19~24,屏東縣,2,5710,10013
2016,02,門診,19~24,台東縣,1,1121,10014
2016,02,門診,19~24,花蓮縣,0,2483,10015
