年,週,就診類別,年齡別,縣市,手足口病健保就診人次,健保就診總人次,縣市別代碼
2016,01,住院,19~24,南投縣,0,9,10008
2016,01,住院,19~24,雲林縣,0,21,10009
2016,01,住院,19~24,嘉義縣,0,5,10010
2016,01,住院,19~24,屏東縣,0,15,10013
2016,01,住院,19~24,花蓮縣,0,13,10015
2016,01,住院,19~24,基隆市,0,3,10017
2016,01,住院,19~24,新竹市,0,29,10018
2016,01,住院,19~24,嘉義市,0,4,10020
2016,01,住院,19~24,台北市,0,160,63000
2016,01,住院,19~24,高雄市,0,82,64000
2016,01,住院,19~24,新北市,0,48,65000
2016,01,住院,19~24,台中市,0,111,66000
2016,01,住院,19~24,台南市,0,37,67000
2016,01,住院,19~24,桃園市,0,29,68000
2016,01,住院,25~64,宜蘭縣,0,255,10002
2016,01,住院,25~64,新竹縣,0,61,10004
2016,01,住院,25~64,苗栗縣,0,191,10005
2016,01,住院,25~64,彰化縣,0,871,10007
2016,01,住院,25~64,南投縣,0,95,10008
2016,01,住院,25~64,雲林縣,0,221,10009
2016,01,住院,25~64,嘉義縣,0,111,10010
2016,01,住院,25~64,屏東縣,0,225,10013
2016,01,住院,25~64,台東縣,0,12,10014
2016,01,住院,25~64,花蓮縣,0,184,10015
2016,01,住院,25~64,澎湖縣,0,1,10016
2016,01,住院,25~64,基隆市,0,85,10017
2016,01,住院,25~64,新竹市,0,447,10018
2016,01,住院,25~64,嘉義市,0,32,10020
2016,01,住院,25~64,台北市,0,4136,63000
2016,01,住院,25~64,高雄市,0,1019,64000
2016,01,住院,25~64,新北市,0,961,65000
2016,01,住院,25~64,台中市,0,1610,66000
2016,01,住院,25~64,台南市,0,1012,67000
2016,01,住院,25~64,桃園市,0,562,68000
2016,01,住院,3~6,宜蘭縣,2,36,10002
2016,01,住院,3~6,新竹縣,0,2,10004
2016,01,住院,3~6,苗栗縣,0,12,10005
2016,01,住院,3~6,彰化縣,2,80,10007
2016,01,住院,3~6,南投縣,0,8,10008
2016,01,住院,3~6,雲林縣,0,12,10009
2016,01,住院,3~6,嘉義縣,1,12,10010
2016,01,住院,3~6,屏東縣,0,6,10013
2016,01,住院,3~6,台東縣,0,4,10014
2016,01,住院,3~6,花蓮縣,0,9,10015
2016,01,住院,3~6,基隆市,0,11,10017
2016,01,住院,3~6,新竹市,0,21,10018
2016,01,住院,3~6,台北市,0,179,63000
2016,01,住院,3~6,高雄市,1,46,64000
2016,01,住院,3~6,新北市,1,48,65000
2016,01,住院,3~6,台中市,1,87,66000
2016,01,住院,3~6,台南市,0,16,67000
2016,01,住院,3~6,桃園市,0,41,68000
2016,01,住院,65+,宜蘭縣,0,215,10002
2016,01,住院,65+,新竹縣,0,73,10004
2016,01,住院,65+,苗栗縣,0,197,10005
2016,01,住院,65+,彰化縣,0,688,10007
2016,01,住院,65+,南投縣,0,141,10008
2016,01,住院,65+,雲林縣,0,218,10009
2016,01,住院,65+,嘉義縣,0,154,10010
2016,01,住院,65+,屏東縣,0,136,10013
2016,01,住院,65+,台東縣,0,1,10014
2016,01,住院,65+,花蓮縣,0,91,10015
2016,01,住院,65+,澎湖縣,0,1,10016
2016,01,住院,65+,基隆市,0,64,10017
2016,01,住院,65+,新竹市,0,275,10018
2016,01,住院,65+,嘉義市,0,16,10020
2016,01,住院,65+,台北市,0,2883,63000
2016,01,住院,65+,高雄市,0,516,64000
2016,01,住院,65+,新北市,0,529,65000
2016,01,住院,65+,台中市,0,1023,66000
2016,01,住院,65+,台南市,0,580,67000
2016,01,住院,65+,桃園市,0,269,68000
2016,01,住院,7~12,宜蘭縣,1,32,10002
2016,01,住院,7~12,新竹縣,0,1,10004
2016,01,住院,7~12,苗栗縣,0,9,10005
2016,01,住院,7~12,彰化縣,1,32,10007
2016,01,住院,7~12,南投縣,0,4,10008
2016,01,住院,7~12,雲林縣,0,7,10009
2016,01,住院,7~12,嘉義縣,0,4,10010
2016,01,住院,7~12,屏東縣,0,4,10013
2016,01,住院,7~12,台東縣,0,1,10014
2016,01,住院,7~12,花蓮縣,0,2,10015
2016,01,住院,7~12,新竹市,0,13,10018
2016,01,住院,7~12,台北市,0,104,63000
2016,01,住院,7~12,高雄市,0,26,64000
2016,01,住院,7~12,新北市,0,23,65000
2016,01,住院,7~12,台中市,0,57,66000
2016,01,住院,7~12,台南市,0,10,67000
2016,01,住院,7~12,桃園市,0,26,68000
2016,01,門診,0~2,連江縣,0,22,09007
2016,01,門診,0~2,金門縣,0,389,09020
2016,01,門診,0~2,宜蘭縣,5,2203,10002
2016,01,門診,0~2,新竹縣,10,3335,10004
2016,01,門診,0~2,苗栗縣,7,2843,10005
2016,01,門診,0~2,彰化縣,33,7785,10007
2016,01,門診,0~2,南投縣,5,2561,10008
2016,01,門診,0~2,雲林縣,30,3467,10009
2016,01,門診,0~2,嘉義縣,1,1313,10010
2016,01,門診,0~2,屏東縣,23,4237,10013
2016,01,門診,0~2,台東縣,9,766,10014
2016,01,門診,0~2,花蓮縣,3,1666,10015
2016,01,門診,0~2,澎湖縣,0,382,10016
2016,01,門診,0~2,基隆市,6,1809,10017
2016,01,門診,0~2,新竹市,23,4135,10018
2016,01,門診,0~2,嘉義市,3,2221,10020
2016,01,門診,0~2,台北市,88,11700,63000
2016,01,門診,0~2,高雄市,39,15802,64000
2016,01,門診,0~2,新北市,125,23953,65000
2016,01,門診,0~2,台中市,86,18378,66000
2016,01,門診,0~2,台南市,35,10495,67000
2016,01,門診,0~2,桃園市,65,12282,68000
2016,01,門診,13~15,連江縣,0,18,09007
2016,01,門診,13~15,金門縣,0,396,09020
2016,01,門診,13~15,宜蘭縣,2,2138,10002
2016,01,門診,13~15,新竹縣,3,2049,10004
2016,01,門診,13~15,苗栗縣,2,2107,10005
2016,01,門診,13~15,彰化縣,3,5977,10007
2016,01,門診,13~15,南投縣,0,2212,10008
2016,01,門診,13~15,雲林縣,2,3448,10009
2016,01,門診,13~15,嘉義縣,0,1791,10010
2016,01,門診,13~15,屏東縣,2,3425,10013
2016,01,門診,13~15,台東縣,2,753,10014
2016,01,門診,13~15,花蓮縣,0,1207,10015
2016,01,門診,13~15,澎湖縣,0,582,10016
2016,01,門診,13~15,基隆市,13,1761,10017
2016,01,門診,13~15,新竹市,0,2291,10018
2016,01,門診,13~15,嘉義市,3,2009,10020
2016,01,門診,13~15,台北市,21,10328,63000
2016,01,門診,13~15,高雄市,9,11362,64000
2016,01,門診,13~15,新北市,29,17781,65000
2016,01,門診,13~15,台中市,15,13283,66000
2016,01,門診,13~15,台南市,9,7753,67000
2016,01,門診,13~15,桃園市,15,8975,68000
2016,01,門診,16~18,連江縣,0,17,09007
2016,01,門診,16~18,金門縣,0,462,09020
2016,01,門診,16~18,宜蘭縣,0,1881,10002
2016,01,門診,16~18,新竹縣,2,2098,10004
2016,01,門診,16~18,苗栗縣,2,2220,10005
2016,01,門診,16~18,彰化縣,2,6011,10007
2016,01,門診,16~18,南投縣,0,2064,10008
2016,01,門診,16~18,雲林縣,0,3372,10009
2016,01,門診,16~18,嘉義縣,0,1682,10010
2016,01,門診,16~18,屏東縣,2,3433,10013
2016,01,門診,16~18,台東縣,1,838,10014
2016,01,門診,16~18,花蓮縣,0,1453,10015
2016,01,門診,16~18,澎湖縣,0,503,10016
2016,01,門診,16~18,基隆市,4,1901,10017
2016,01,門診,16~18,新竹市,2,2326,10018
2016,01,門診,16~18,嘉義市,0,2210,10020
2016,01,門診,16~18,台北市,11,11214,63000
2016,01,門診,16~18,高雄市,2,12357,64000
2016,01,門診,16~18,新北市,13,19091,65000
2016,01,門診,16~18,台中市,7,14410,66000
2016,01,門診,16~18,台南市,0,8059,67000
2016,01,門診,16~18,桃園市,12,9659,68000
2016,01,門診,19~24,連江縣,0,149,09007
2016,01,門診,19~24,金門縣,0,707,09020
2016,01,門診,19~24,宜蘭縣,0,3038,10002
2016,01,門診,19~24,新竹縣,2,3233,10004
2016,01,門診,19~24,苗栗縣,0,3485,10005
2016,01,門診,19~24,彰化縣,1,9356,10007
2016,01,門診,19~24,南投縣,0,2791,10008
2016,01,門診,19~24,雲林縣,0,4817,10009
2016,01,門診,19~24,嘉義縣,0,2791,10010
2016,01,門診,19~24,屏東縣,0,5931,10013
2016,01,門診,19~24,台東縣,2,1149,10014
2016,01,門診,19~24,花蓮縣,1,2724,10015
2016,01,門診,19~24,澎湖縣,0,982,10016
2016,01,門診,19~24,基隆市,0,3090,10017
2016,01,門診,19~24,新竹市,0,4740,10018
2016,01,門診,19~24,嘉義市,0,3585,10020
2016,01,門診,19~24,台北市,6,26699,63000
2016,01,門診,19~24,高雄市,2,25309,64000
2016,01,門診,19~24,新北市,4,34598,65000
2016,01,門診,19~24,台中市,6,31206,66000
2016,01,門診,19~24,台南市,2,17503,67000
2016,01,門診,19~24,桃園市,8,16547,68000
2016,01,門診,25~64,連江縣,0,704,09007
2016,01,門診,25~64,金門縣,0,7827,09020
2016,01,門診,25~64,宜蘭縣,1,38176,10002
2016,01,門診,25~64,新竹縣,3,40084,10004
2016,01,門診,25~64,苗栗縣,2,44701,10005
2016,01,門診,25~64,彰化縣,5,124766,10007
2016,01,門診,25~64,南投縣,1,41622,10008
2016,01,門診,25~64,雲林縣,4,65096,10009
2016,01,門診,25~64,嘉義縣,0,35904,10010
2016,01,門診,25~64,屏東縣,0,78079,10013
2016,01,門診,25~64,台東縣,0,18610,10014
2016,01,門診,25~64,花蓮縣,1,35077,10015
2016,01,門診,25~64,澎湖縣,0,12126,10016
2016,01,門診,25~64,基隆市,2,42074,10017
2016,01,門診,25~64,新竹市,2,59281,10018
2016,01,門診,25~64,嘉義市,1,44973,10020
2016,01,門診,25~64,台北市,22,342593,63000
2016,01,門診,25~64,高雄市,9,309141,64000
2016,01,門診,25~64,新北市,34,399323,65000
2016,01,門診,25~64,台中市,9,316757,66000
2016,01,門診,25~64,台南市,8,201124,67000
2016,01,門診,25~64,桃園市,16,201816,68000
2016,01,門診,3~6,連江縣,0,45,09007
2016,01,門診,3~6,金門縣,3,832,09020
2016,01,門診,3~6,宜蘭縣,33,4648,10002
2016,01,門診,3~6,新竹縣,35,6557,10004
2016,01,門診,3~6,苗栗縣,25,5868,10005
2016,01,門診,3~6,彰化縣,70,15319,10007
2016,01,門診,3~6,南投縣,21,5476,10008
2016,01,門診,3~6,雲林縣,27,7416,10009
2016,01,門診,3~6,嘉義縣,16,3111,10010
2016,01,門診,3~6,屏東縣,44,8590,10013
2016,01,門診,3~6,台東縣,17,1496,10014
2016,01,門診,3~6,花蓮縣,5,3272,10015
2016,01,門診,3~6,澎湖縣,0,954,10016
2016,01,門診,3~6,基隆市,19,3728,10017
2016,01,門診,3~6,新竹市,25,7432,10018
2016,01,門診,3~6,嘉義市,19,4931,10020
2016,01,門診,3~6,台北市,156,24344,63000
2016,01,門診,3~6,高雄市,98,30108,64000
2016,01,門診,3~6,新北市,241,48734,65000
2016,01,門診,3~6,台中市,128,37780,66000
2016,01,門診,3~6,台南市,85,21674,67000
2016,01,門診,3~6,桃園市,153,23539,68000
2016,01,門診,65+,連江縣,0,283,09007
2016,01,門診,65+,金門縣,0,3814,09020
2016,01,門診,65+,宜蘭縣,0,22630,10002
2016,01,門診,65+,新竹縣,0,14001,10004
2016,01,門診,65+,苗栗縣,1,26066,10005
2016,01,門診,65+,彰化縣,0,65633,10007
2016,01,門診,65+,南投縣,0,25576,10008
2016,01,門診,65+,雲林縣,0,40585,10009
2016,01,門診,65+,嘉義縣,0,29063,10010
2016,01,門診,65+,屏東縣,0,50312,10013
2016,01,門診,65+,台東縣,0,11982,10014
2016,01,門診,65+,花蓮縣,0,20059,10015
2016,01,門診,65+,澎湖縣,0,8157,10016
2016,01,門診,65+,基隆市,0,22157,10017
2016,01,門診,65+,新竹市,0,21641,10018
2016,01,門診,65+,嘉義市,0,22147,10020
2016,01,門診,65+,台北市,0,183748,63000
2016,01,門診,65+,高雄市,1,149345,64000
2016,01,門診,65+,新北市,5,133729,65000
2016,01,門診,65+,台中市,0,123869,66000
2016,01,門診,65+,台南市,0,93023,67000
2016,01,門診,65+,桃園市,0,73592,68000
2016,01,門診,7~12,連江縣,0,35,09007
2016,01,門診,7~12,金門縣,0,912,09020
2016,01,門診,7~12,宜蘭縣,14,4048,10002
2016,01,門診,7~12,新竹縣,18,5773,10004
2016,01,門診,7~12,苗栗縣,8,4707,10005
2016,01,門診,7~12,彰化縣,14,13725,10007
2016,01,門診,7~12,南投縣,5,5036,10008
2016,01,門診,7~12,雲林縣,10,6770,10009
2016,01,門診,7~12,嘉義縣,9,3375,10010
2016,01,門診,7~12,屏東縣,6,7680,10013
2016,01,門診,7~12,台東縣,2,1416,10014
2016,01,門診,7~12,花蓮縣,1,2658,10015
2016,01,門診,7~12,澎湖縣,0,1107,10016
2016,01,門診,7~12,基隆市,12,3377,10017
2016,01,門診,7~12,新竹市,13,6312,10018
2016,01,門診,7~12,嘉義市,14,4250,10020
2016,01,門診,7~12,台北市,63,22561,63000
2016,01,門診,7~12,高雄市,40,27302,64000
2016,01,門診,7~12,新北市,99,42002,65000
2016,01,門診,7~12,台中市,47,32129,66000
2016,01,門診,7~12,台南市,40,19298,67000
2016,01,門診,7~12,桃園市,68,21455,68000
2016,01,門診,不詳,連江縣,0,1,09007
2016,01,門診,不詳,金門縣,0,1,09020
2016,01,門診,不詳,彰化縣,0,9,10007
2016,01,門診,不詳,嘉義縣,0,1,10010
2016,01,門診,不詳,基隆市,0,1,10017
2016,01,門診,不詳,新竹市,0,1,10018
2016,01,門診,不詳,台北市,0,21,63000
2016,01,門診,不詳,新北市,0,5,65000
2016,01,門診,不詳,台中市,0,10,66000
2016,01,門診,不詳,台南市,0,3,67000
2016,01,門診,不詳,桃園市,0,8,68000
2016,02,住院,0~2,金門縣,0,1,09020
2016,02,住院,0~2,宜蘭縣,1,41,10002
2016,02,住院,0~2,新竹縣,0,1,10004
2016,02,住院,0~2,苗栗縣,0,6,10005
2016,02,住院,0~2,彰化縣,2,78,10007
2016,02,住院,0~2,南投縣,0,2,10008
2016,02,住院,0~2,雲林縣,0,9,10009
2016,02,住院,0~2,嘉義縣,0,8,10010
2016,02,住院,0~2,屏東縣,0,8,10013
2016,02,住院,0~2,台東縣,0,1,10014
2016,02,住院,0~2,花蓮縣,0,6,10015
2016,02,住院,0~2,基隆市,0,11,10017
2016,02,住院,0~2,新竹市,0,29,10018
2016,02,住院,0~2,嘉義市,0,1,10020
2016,02,住院,0~2,台北市,3,152,63000
2016,02,住院,0~2,高雄市,0,46,64000
2016,02,住院,0~2,新北市,1,38,65000
2016,02,住院,0~2,台中市,4,124,66000
2016,02,住院,0~2,台南市,1,25,67000
2016,02,住院,0~2,桃園市,1,43,68000
2016,02,住院,13~15,宜蘭縣,0,8,10002
2016,02,住院,13~15,新竹縣,0,1,10004
2016,02,住院,13~15,苗栗縣,0,6,10005
2016,02,住院,13~15,彰化縣,0,11,10007
2016,02,住院,13~15,南投縣,0,1,10008
2016,02,住院,13~15,雲林縣,0,8,10009
2016,02,住院,13~15,嘉義縣,0,1,10010
2016,02,住院,13~15,屏東縣,0,1,10013
2016,02,住院,13~15,花蓮縣,0,2,10015
2016,02,住院,13~15,基隆市,0,6,10017
2016,02,住院,13~15,新竹市,0,4,10018
2016,02,住院,13~15,嘉義市,0,1,10020
2016,02,住院,13~15,台北市,0,42,63000
2016,02,住院,13~15,高雄市,0,14,64000
2016,02,住院,13~15,新北市,0,12,65000
2016,02,住院,13~15,台中市,0,26,66000
2016,02,住院,13~15,台南市,0,5,67000
2016,02,住院,13~15,桃園市,0,11,68000
2016,02,住院,16~18,宜蘭縣,0,9,10002
2016,02,住院,16~18,新竹縣,0,2,10004
2016,02,住院,16~18,苗栗縣,0,8,10005
2016,02,住院,16~18,彰化縣,0,22,10007
2016,02,住院,16~18,南投縣,0,2,10008
2016,02,住院,16~18,雲林縣,0,6,10009
2016,02,住院,16~18,嘉義縣,0,2,10010
2016,02,住院,16~18,屏東縣,0,3,10013
2016,02,住院,16~18,花蓮縣,0,1,10015
2016,02,住院,16~18,基隆市,0,5,10017
2016,02,住院,16~18,新竹市,0,6,10018
2016,02,住院,16~18,台北市,0,58,63000
2016,02,住院,16~18,高雄市,0,21,64000
2016,02,住院,16~18,新北市,0,11,65000
2016,02,住院,16~18,台中市,0,31,66000
2016,02,住院,16~18,台南市,0,5,67000
2016,02,住院,16~18,桃園市,0,18,68000
2016,02,住院,19~24,宜蘭縣,0,16,10002
2016,02,住院,19~24,新竹縣,0,7,10004
2016,02,住院,19~24,苗栗縣,0,15,10005
2016,02,住院,19~24,彰化縣,0,61,10007
2016,02,住院,19~24,南投縣,0,12,10008
2016,02,住院,19~24,雲林縣,0,22,10009
2016,02,住院,19~24,嘉義縣,0,10,10010
2016,02,住院,19~24,屏東縣,0,15,10013
2016,02,住院,19~24,花蓮縣,0,21,10015
2016,02,住院,19~24,基隆市,0,6,10017
2016,02,住院,19~24,新竹市,0,33,10018
2016,02,住院,19~24,嘉義市,0,7,10020
2016,02,住院,19~24,台北市,0,215,63000
2016,02,住院,19~24,高雄市,0,93,64000
2016,02,住院,19~24,新北市,0,57,65000
2016,02,住院,19~24,台中市,0,136,66000
2016,02,住院,19~24,台南市,0,54,67000
2016,02,住院,19~24,桃園市,0,61,68000
2016,02,住院,25~64,金門縣,0,15,09020
2016,02,住院,25~64,宜蘭縣,0,276,10002
2016,02,住院,25~64,新竹縣,0,61,10004
2016,02,住院,25~64,苗栗縣,0,229,10005
2016,02,住院,25~64,彰化縣,0,929,10007
2016,02,住院,25~64,南投縣,0,118,10008
2016,02,住院,25~64,雲林縣,0,268,10009
2016,02,住院,25~64,嘉義縣,0,163,10010
2016,02,住院,25~64,屏東縣,0,210,10013
2016,02,住院,25~64,台東縣,0,8,10014
2016,02,住院,25~64,花蓮縣,0,149,10015
2016,02,住院,25~64,澎湖縣,0,2,10016
2016,02,住院,25~64,基隆市,0,158,10017
2016,02,住院,25~64,新竹市,0,511,10018
2016,02,住院,25~64,嘉義市,0,83,10020
2016,02,住院,25~64,台北市,1,4087,63000
2016,02,住院,25~64,高雄市,0,1462,64000
2016,02,住院,25~64,新北市,0,955,65000
2016,02,住院,25~64,台中市,0,1726,66000
2016,02,住院,25~64,台南市,0,1214,67000
2016,02,住院,25~64,桃園市,0,1032,68000
2016,02,住院,3~6,金門縣,0,1,09020
2016,02,住院,3~6,宜蘭縣,1,59,10002
2016,02,住院,3~6,新竹縣,0,5,10004
2016,02,住院,3~6,苗栗縣,0,11,10005
2016,02,住院,3~6,彰化縣,1,89,10007
2016,02,住院,3~6,南投縣,0,9,10008
2016,02,住院,3~6,雲林縣,0,6,10009
2016,02,住院,3~6,嘉義縣,0,6,10010
2016,02,住院,3~6,屏東縣,0,9,10013
2016,02,住院,3~6,花蓮縣,0,4,10015
2016,02,住院,3~6,基隆市,0,13,10017
2016,02,住院,3~6,新竹市,0,26,10018
2016,02,住院,3~6,嘉義市,0,3,10020
2016,02,住院,3~6,台北市,3,171,63000
2016,02,住院,3~6,高雄市,1,56,64000
2016,02,住院,3~6,新北市,0,42,65000
2016,02,住院,3~6,台中市,2,106,66000
2016,02,住院,3~6,台南市,0,15,67000
2016,02,住院,3~6,桃園市,2,57,68000
2016,02,住院,65+,金門縣,0,9,09020
2016,02,住院,65+,宜蘭縣,0,250,10002
2016,02,住院,65+,新竹縣,0,44,10004
2016,02,住院,65+,苗栗縣,0,236,10005
2016,02,住院,65+,彰化縣,0,676,10007
2016,02,住院,65+,南投縣,0,116,10008
2016,02,住院,65+,雲林縣,0,282,10009
2016,02,住院,65+,嘉義縣,0,165,10010
2016,02,住院,65+,屏東縣,0,123,10013
2016,02,住院,65+,台東縣,0,3,10014
2016,02,住院,65+,花蓮縣,0,96,10015
2016,02,住院,65+,澎湖縣,0,1,10016
2016,02,住院,65+,基隆市,0,132,10017
2016,02,住院,65+,新竹市,0,299,10018
2016,02,住院,65+,嘉義市,0,24,10020
2016,02,住院,65+,台北市,0,2902,63000
2016,02,住院,65+,高雄市,0,838,64000
2016,02,住院,65+,新北市,0,509,65000
2016,02,住院,65+,台中市,0,1136,66000
2016,02,住院,65+,台南市,0,724,67000
2016,02,住院,65+,桃園市,0,610,68000
2016,02,住院,7~12,宜蘭縣,1,28,10002
2016,02,住院,7~12,新竹縣,0,3,10004
2016,02,住院,7~12,苗栗縣,0,12,10005
2016,02,住院,7~12,彰化縣,0,44,10007
2016,02,住院,7~12,南投縣,0,3,10008
2016,02,住院,7~12,雲林縣,0,7,10009
2016,02,住院,7~12,嘉義縣,0,4,10010
2016,02,住院,7~12,屏東縣,0,1,10013
2016,02,住院,7~12,基隆市,0,5,10017
2016,02,住院,7~12,新竹市,0,9,10018
2016,02,住院,7~12,台北市,0,103,63000
2016,02,住院,7~12,高雄市,0,29,64000
2016,02,住院,7~12,新北市,0,19,65000
2016,02,住院,7~12,台中市,2,71,66000
2016,02,住院,7~12,台南市,0,10,67000
2016,02,住院,7~12,桃園市,2,38,68000
2016,02,住院,不詳,台北市,0,3,63000
2016,02,住院,不詳,台中市,0,1,66000
2016,02,門診,0~2,連江縣,0,16,09007
2016,02,門診,0~2,金門縣,0,368,09020
2016,02,門診,0~2,宜蘭縣,17,2238,10002
2016,02,門診,0~2,新竹縣,11,3327,10004
2016,02,門診,0~2,苗栗縣,9,2796,10005
2016,02,門診,0~2,彰化縣,33,7423,10007
2016,02,門診,0~2,南投縣,7,2536,10008
2016,02,門診,0~2,雲林縣,19,3444,10009
2016,02,門診,0~2,嘉義縣,3,1263,10010
2016,02,門診,0~2,屏東縣,11,4114,10013
2016,02,門診,0~2,台東縣,14,789,10014
2016,02,門診,0~2,花蓮縣,2,1609,10015
2016,02,門診,0~2,澎湖縣,0,429,10016
2016,02,門診,0~2,基隆市,3,1678,10017
2016,02,門診,0~2,新竹市,15,4121,10018
2016,02,門診,0~2,嘉義市,5,2259,10020
2016,02,門診,0~2,台北市,78,12436,63000
2016,02,門診,0~2,高雄市,28,14797,64000
2016,02,門診,0~2,新北市,103,23568,65000
2016,02,門診,0~2,台中市,104,18660,66000
2016,02,門診,0~2,台南市,30,10122,67000
2016,02,門診,0~2,桃園市,73,12574,68000
2016,02,門診,13~15,連江縣,0,11,09007
2016,02,門診,13~15,金門縣,0,329,09020
2016,02,門診,13~15,宜蘭縣,1,1976,10002
2016,02,門診,13~15,新竹縣,3,1986,10004
2016,02,門診,13~15,苗栗縣,0,1908,10005
2016,02,門診,13~15,彰化縣,2,5625,10007
2016,02,門診,13~15,南投縣,1,2256,10008
2016,02,門診,13~15,雲林縣,1,3369,10009
2016,02,門診,13~15,嘉義縣,1,1689,10010
2016,02,門診,13~15,屏東縣,1,2932,10013
2016,02,門診,13~15,台東縣,0,706,10014
2016,02,門診,13~15,花蓮縣,0,1186,10015
2016,02,門診,13~15,澎湖縣,0,553,10016
2016,02,門診,13~15,基隆市,8,1596,10017
2016,02,門診,13~15,新竹市,0,2188,10018
2016,02,門診,13~15,嘉義市,1,1872,10020
2016,02,門診,13~15,台北市,14,9584,63000
2016,02,門診,13~15,高雄市,8,9840,64000
2016,02,門診,13~15,新北市,29,17877,65000
2016,02,門診,13~15,台中市,4,12764,66000
2016,02,門診,13~15,台南市,9,7644,67000
2016,02,門診,13~15,桃園市,13,9204,68000
2016,02,門診,16~18,連江縣,0,19,09007
2016,02,門診,16~18,金門縣,0,382,09020
2016,02,門診,16~18,宜蘭縣,1,1706,10002
2016,02,門診,16~18,新竹縣,1,1871,10004
2016,02,門診,16~18,苗栗縣,1,2049,10005
2016,02,門診,16~18,彰化縣,0,5769,10007
2016,02,門診,16~18,南投縣,0,1917,10008
2016,02,門診,16~18,雲林縣,0,3349,10009
2016,02,門診,16~18,嘉義縣,1,1584,10010
2016,02,門診,16~18,屏東縣,1,3035,10013
2016,02,門診,16~18,台東縣,3,706,10014
2016,02,門診,16~18,花蓮縣,0,1279,10015
2016,02,門診,16~18,澎湖縣,0,480,10016
2016,02,門診,16~18,基隆市,6,1766,10017
2016,02,門診,16~18,新竹市,2,2173,10018
2016,02,門診,16~18,嘉義市,0,2098,10020
2016,02,門診,16~18,台北市,12,10475,63000
2016,02,門診,16~18,高雄市,0,10949,64000
2016,02,門診,16~18,新北市,19,18475,65000
2016,02,門診,16~18,台中市,5,13533,66000
2016,02,門診,16~18,台南市,4,7878,67000
2016,02,門診,16~18,桃園市,7,9492,68000
2016,02,門診,19~24,連江縣,0,161,09007
2016,02,門診,19~24,金門縣,0,644,09020
2016,02,門診,19~24,宜蘭縣,0,3047,10002
2016,02,門診,19~24,新竹縣,0,3099,10004
2016,02,門診,19~24,苗栗縣,0,3453,10005
2016,02,門診,19~24,彰化縣,1,9907,10007
2016,02,門診,19~24,南投縣,0,3121,10008
2016,02,門診,19~24,雲林縣,2,4901,10009
2016,02,門診,19~24,嘉義縣,0,2715,10010
2016,02,門診,19~24,屏東縣,0,5710,10013
2016,02,門診,19~24,台東縣,2,1121,10014
2016,02,門診,19~24,花蓮縣,0,2483,10015
