受補（捐）助單位,核准日期,累計撥付金額,補（捐）助事項或用途,縣市代碼
一.補助其他政府機關,,265401715 ,,
1.中央政府機關學校間,,1238000 ,,
國防醫學院,1120406,1238000 ,112年高危險病原體及列管毒素之檢驗,63000
2.地方政府,,264163715 ,,
(1)直轄市政府,,195327454 ,,
臺北市政府衛生局,1120101,134235000 ,111年度衛生福利部補助地方政府設置加強型集中檢疫場所及防疫旅館設置,63000
新北市政府衛生局,1120307,5159000 ,傳染病防治計畫,65000
桃園市政府衛生局,1120307,4507968 ,傳染病防治計畫,68000
臺中市政府衛生局,1120307,4910486 ,傳染病防治計畫,10019
臺南市政府衛生局,1120307,10204000 ,傳染病防治計畫,10021
臺南市政府衛生局,1120801,11000000 ,112年加強登革熱防治計畫,10021
高雄市政府衛生局,1120307,13368000 ,傳染病防治計畫,64000
高雄市政府衛生局,1120801,10070000 ,112年社區登革熱病媒緊急防治動員工作計畫,64000
高雄市政府衛生局,1121214,1873000 ,登革熱病媒緊急防治動員工作計畫-第二期計畫,64000
(2)臺灣省各縣市政府,,68836261 ,,
宜蘭縣政府衛生局,1120307,4117000 ,傳染病防治計畫,10002
新竹縣政府衛生局,1120307,3820261 ,傳染病防治計畫,10004
苗栗縣政府衛生局,1120307,3574000 ,傳染病防治計畫,10005
彰化縣衛生局,1120307,3100000 ,傳染病防治計畫,10007
南投縣政府衛生局,1120307,6969000 ,傳染病防治計畫,10008
雲林縣衛生局,1120307,2711000 ,傳染病防治計畫,10009
雲林縣衛生局,1121023,3500000 ,112年度登革熱緊急動員工作計畫,10009
嘉義縣衛生局,1120307,5146000 ,傳染病防治計畫,10010
嘉義縣衛生局,1121106,1200000 ,112年登革熱傳染病防治計畫,10010
屏東縣政府衛生局,1120307,13023000 ,傳染病防治計畫,10013
屏東縣政府衛生局,1120801,3000000 ,112年登革熱緊急防治計畫,10013
臺東縣衛生局,1120307,4789000 ,傳染病防治計畫,10014
花蓮縣衛生局,1120307,6165000 ,傳染病防治計畫,10015
澎湖縣政府衛生局,1120307,1311000 ,傳染病防治計畫,10016
金門縣衛生局,1120307,687000 ,傳染病防治計畫,09020
連江縣衛生福利局,1120307,281000 ,傳染病防治計畫,09007
基隆市衛生局,1120307,1902000 ,傳染病防治計畫,10017
新竹市衛生局,1120307,1799000 ,傳染病防治計畫,10018
嘉義市政府衛生局,1120307,1742000 ,傳染病防治計畫,10020
二.對特種基金之補助,,19400309040 ,,
高雄市立聯合醫院,1120101,40000 ,112年度山地原鄉合作院所胸部X光篩檢補助計畫,64000
高雄榮民總醫院,1120101,44000 ,112年度山地原鄉合作院所胸部X光篩檢補助計畫,64000
高雄榮民總醫院,1120101,6000 ,112年愛滋病指定醫事機構服務品質提升計畫,64000
國立成功大學醫學院附設醫院,1120101,46463 ,112年度補助醫院辦理漢生病個案確診及治療計畫,10021
國立陽明交通大學附設醫院,1120101,62000 ,112年度山地原鄉合作院所胸部X光篩檢補助計畫,10002
國立陽明交通大學附設醫院,1120101,6000 ,112年愛滋病指定醫事機構服務品質提升計畫,10002
國立臺灣大學醫學院附設醫院,1120101,100000 ,112年度補助醫院辦理漢生病個案確診及治療計畫,63000
國軍左營總醫院,1120101,51000 ,112年度山地原鄉合作院所胸部X光篩檢補助計畫,64000
臺中榮民總醫院,1120101,99330 ,112年度補助醫院辦理漢生病個案確診及治療計畫,10019
臺中榮民總醫院埔里分院,1120101,296000 ,112年度山地原鄉合作院所胸部X光篩檢補助計畫,10008
臺中榮民總醫院嘉義分院,1120101,6000 ,112年愛滋病指定醫事機構服務品質提升計畫,10020
臺北市立聯合醫院,1120101,6000 ,112年愛滋病指定醫事機構服務品質提升計畫,63000
臺北榮民總醫院玉里分院,1120101,105000 ,112年度山地原鄉合作院所胸部X光篩檢補助計畫,10015
臺北榮民總醫院臺東分院,1120101,20000 ,112年度山地原鄉合作院所胸部X光篩檢補助計畫,10014
衛生福利部南投醫院,1120101,22000 ,112年度山地原鄉合作院所胸部X光篩檢補助計畫,10008
衛生福利部屏東醫院,1120101,58000 ,112年度山地原鄉合作院所胸部X光篩檢補助計畫,10013
衛生福利部恆春旅遊醫院,1120101,22000 ,112年度山地原鄉合作院所胸部X光篩檢補助計畫,10013
衛生福利部旗山醫院,1120101,24000 ,112年度山地原鄉合作院所胸部X光篩檢補助計畫,64000
衛生福利部臺東醫院,1120101,37000 ,112年度山地原鄉合作院所胸部X光篩檢補助計畫,10014
衛生福利部樂生療養院,1120101,65369 ,112年度補助醫院辦理漢生病個案確診及治療計畫,65000
衛生福利部豐原醫院,1120101,70000 ,112年度山地原鄉合作院所胸部X光篩檢補助計畫,10019
疫苗基金,1120104,1048506000 ,112年疫苗基金國庫撥補款,63000
疫苗基金,1120202,18284557316 ,撥充疫苗基金辦理COVID-19疫苗採購及相關接種作業所需費用,63000
三軍總醫院澎湖分院附設民眾診療服務處,1120316,10000 ,補助112年腸病毒責任醫院辦理醫護人員教育訓練,10016
高雄榮民總醫院,1120316,27800 ,補助112年腸病毒責任醫院辦理醫護人員教育訓練,64000
國立臺灣大學醫學院附設醫院新竹臺大分院新竹醫院,1120316,17028 ,補助112年腸病毒責任醫院辦理醫護人員教育訓練,10018
臺中榮民總醫院,1120316,11349 ,補助112年腸病毒責任醫院辦理醫護人員教育訓練,10019
衛生福利部金門醫院,1120316,7000 ,補助112年腸病毒責任醫院辦理醫護人員教育訓練,09020
衛生福利部南投醫院,1120316,16875 ,補助112年腸病毒責任醫院辦理醫護人員教育訓練,10008
衛生福利部苗栗醫院,1120316,5800 ,補助112年腸病毒責任醫院辦理醫護人員教育訓練,10005
衛生福利部桃園醫院,1120316,19495 ,補助112年腸病毒責任醫院辦理醫護人員教育訓練,68000
高雄市立民生醫院,1120321,2660000 ,112年傳染病防治醫療網應變醫院強化負壓隔離病房硬體結構/設備案,64000
國立陽明交通大學附設醫院,1120321,2405650 ,112年傳染病防治醫療網應變醫院強化負壓隔離病房硬體結構/設備案,10002
