受補（捐）助單位,核准日期,累計撥付金額,補（捐）助事項或用途,縣市代碼
國防醫學院,1110413,1238000,協助執行「高危險病原體及列管毒素之檢驗」,63000
新北市政府衛生局,1110325,5467000,傳染病防治計畫,65000
臺中市政府衛生局,1110325,5424000,傳染病防治計畫,66000
臺南市政府衛生局,1110325,10246000,傳染病防治計畫,67000
高雄市政府衛生局,1110325,13297000,傳染病防治計畫,64000
桃園市政府衛生局,1110325,4573000,傳染病防治計畫,68000
新北市政府衛生局,1110629,48240000,因應嚴重特殊傳染性肺炎地方政府防疫動員計畫補助方案,65000
臺北市政府衛生局,1110704,47510000,因應嚴重特殊傳染性肺炎地方政府防疫動員計畫補助方案,63000
臺中市政府衛生局,1110627,38400000,因應嚴重特殊傳染性肺炎地方政府防疫動員計畫補助方案,66000
臺南市政府衛生局,1110706,28800000,因應嚴重特殊傳染性肺炎地方政府防疫動員計畫補助方案,67000
高雄市政府衛生局,1110713,38400000,因應嚴重特殊傳染性肺炎地方政府防疫動員計畫補助方案,64000
桃園市政府衛生局,1110630,47162360,因應嚴重特殊傳染性肺炎地方政府防疫動員計畫補助方案,68000
臺北市政府衛生局,1110825,50000000,因應嚴重特殊傳染性肺炎地方政府防疫動員計畫補助方案-COVID-19疫苗接種作業子計畫,63000
新北市政府衛生局,1110825,58000000,因應嚴重特殊傳染性肺炎地方政府防疫動員計畫補助方案-COVID-19疫苗接種作業子計畫,65000
臺中市政府衛生局,1110825,53000000,因應嚴重特殊傳染性肺炎地方政府防疫動員計畫補助方案-COVID-19疫苗接種作業子計畫,66000
臺南市政府衛生局,1110825,53000000,因應嚴重特殊傳染性肺炎地方政府防疫動員計畫補助方案-COVID-19疫苗接種作業子計畫,67000
桃園市政府衛生局,1110825,51500000,因應嚴重特殊傳染性肺炎地方政府防疫動員計畫補助方案-COVID-19疫苗接種作業子計畫,68000
宜蘭縣政府衛生局,1110325,4042000,傳染病防治計畫,10002
花蓮縣衛生局,1110325,5925000,傳染病防治計畫,10015
金門縣衛生局,1110325,681000,傳染病防治計畫,09020
南投縣政府衛生局,1110325,6882000,傳染病防治計畫,10008
屏東縣政府衛生局,1110325,6348000,傳染病防治計畫,10013
苗栗縣政府衛生局,1110325,1558000,傳染病防治計畫,10005
基隆市衛生局,1110325,1902000,傳染病防治計畫,10017
連江縣衛生福利局,1110325,226000,傳染病防治計畫,09007
雲林縣衛生局,1110325,2713000,傳染病防治計畫,10009
新竹市衛生局,1110325,1395000,傳染病防治計畫,10018
新竹縣政府衛生局,1110325,1858000,傳染病防治計畫,10004
嘉義市政府衛生局,1110325,1724000,傳染病防治計畫,10020
嘉義縣衛生局,1110325,4854000,傳染病防治計畫,10010
彰化縣衛生局,1110325,3051000,傳染病防治計畫,10007
臺東縣衛生局,1110325,4788000,傳染病防治計畫,10014
澎湖縣政府衛生局,1110325,1335000,傳染病防治計畫,10016
金門縣衛生局,1110610,9420000,因應嚴重特殊傳染性肺炎地方政府防疫動員計畫補助方案,09020
基隆市衛生局,1110615,19160000,因應嚴重特殊傳染性肺炎地方政府防疫動員計畫補助方案,10017
屏東縣政府衛生局,1110620,19450000,因應嚴重特殊傳染性肺炎地方政府防疫動員計畫補助方案,10013
臺東縣衛生局,1110620,9710000,因應嚴重特殊傳染性肺炎地方政府防疫動員計畫補助方案,10014
宜蘭縣政府衛生局,1110621,19160000,因應嚴重特殊傳染性肺炎地方政府防疫動員計畫補助方案,10002
花蓮縣衛生局,1110621,19450000,因應嚴重特殊傳染性肺炎地方政府防疫動員計畫補助方案,10015
新竹市衛生局,1110621,18890000,因應嚴重特殊傳染性肺炎地方政府防疫動員計畫補助方案,10018
彰化縣衛生局,1110621,19160000,因應嚴重特殊傳染性肺炎地方政府防疫動員計畫補助方案,10007
澎湖縣政府衛生局,1110623,9710000,因應嚴重特殊傳染性肺炎地方政府防疫動員計畫補助方案,10016
南投縣政府衛生局,1110624,9560000,因應嚴重特殊傳染性肺炎地方政府防疫動員計畫補助方案,10008
苗栗縣政府衛生局,1110624,19450000,因應嚴重特殊傳染性肺炎地方政府防疫動員計畫補助方案,10005
嘉義縣衛生局,1110628,9710000,因應嚴重特殊傳染性肺炎地方政府防疫動員計畫補助方案,10010
新竹縣政府衛生局,1110630,18890000,因應嚴重特殊傳染性肺炎地方政府防疫動員計畫補助方案,10004
雲林縣衛生局,1110711,9560000,因應嚴重特殊傳染性肺炎地方政府防疫動員計畫補助方案,10009
嘉義市政府衛生局,1110719,9420000,因應嚴重特殊傳染性肺炎地方政府防疫動員計畫補助方案,10020
連江縣衛生福利局,1110725,9710000,因應嚴重特殊傳染性肺炎地方政府防疫動員計畫補助方案,09007
宜蘭縣政府衛生局,1110825,11500000,因應嚴重特殊傳染性肺炎地方政府防疫動員計畫補助方案-COVID-19疫苗接種作業子計畫,10002
花蓮縣衛生局,1110825,5500000,因應嚴重特殊傳染性肺炎地方政府防疫動員計畫補助方案-COVID-19疫苗接種作業子計畫,10015
金門縣衛生局,1110825,2279000,因應嚴重特殊傳染性肺炎地方政府防疫動員計畫補助方案-COVID-19疫苗接種作業子計畫,09020
南投縣政府衛生局,1110825,11500000,因應嚴重特殊傳染性肺炎地方政府防疫動員計畫補助方案-COVID-19疫苗接種作業子計畫,10008
屏東縣政府衛生局,1110825,18000000,因應嚴重特殊傳染性肺炎地方政府防疫動員計畫補助方案-COVID-19疫苗接種作業子計畫,10013
苗栗縣政府衛生局,1110825,13000000,因應嚴重特殊傳染性肺炎地方政府防疫動員計畫補助方案-COVID-19疫苗接種作業子計畫,10005
基隆市衛生局,1110825,11500000,因應嚴重特殊傳染性肺炎地方政府防疫動員計畫補助方案-COVID-19疫苗接種作業子計畫,10017
雲林縣衛生局,1110825,16500000,因應嚴重特殊傳染性肺炎地方政府防疫動員計畫補助方案-COVID-19疫苗接種作業子計畫,10009
新竹市衛生局,1110825,10000000,因應嚴重特殊傳染性肺炎地方政府防疫動員計畫補助方案-COVID-19疫苗接種作業子計畫,10018
新竹縣政府衛生局,1110825,10000000,因應嚴重特殊傳染性肺炎地方政府防疫動員計畫補助方案-COVID-19疫苗接種作業子計畫,10004
嘉義市政府衛生局,1110825,5000000,因應嚴重特殊傳染性肺炎地方政府防疫動員計畫補助方案-COVID-19疫苗接種作業子計畫,10020
嘉義縣衛生局,1110825,13000000,因應嚴重特殊傳染性肺炎地方政府防疫動員計畫補助方案-COVID-19疫苗接種作業子計畫,10010
彰化縣衛生局,1110825,22000000,因應嚴重特殊傳染性肺炎地方政府防疫動員計畫補助方案-COVID-19疫苗接種作業子計畫,10007
臺東縣衛生局,1110825,5500000,因應嚴重特殊傳染性肺炎地方政府防疫動員計畫補助方案-COVID-19疫苗接種作業子計畫,10014
澎湖縣政府衛生局,1110825,2950000,因應嚴重特殊傳染性肺炎地方政府防疫動員計畫補助方案-COVID-19疫苗接種作業子計畫,10016
高雄榮民總醫院,1110101,448750,111年「感染管制與抗生素管理卓越計畫補捐助案」,64000
國立臺灣大學醫學院附設醫院,1110101,448750,111年「感染管制與抗生素管理卓越計畫補捐助案」,63000
高雄榮民總醫院,1110101,25000,111年愛滋病毒篩檢與暴露愛滋病毒前預防性投藥(PrEP)計畫,64000
國立成功大學醫學院附設醫院,1110101,40000,111年愛滋病毒篩檢與暴露愛滋病毒前預防性投藥(PrEP)計畫,67000
國立陽明交通大學附設醫院,1110101,5000,111年愛滋病毒篩檢與暴露愛滋病毒前預防性投藥(PrEP)計畫,10002
國立臺灣大學醫學院附設醫院,1110101,100000,111年愛滋病毒篩檢與暴露愛滋病毒前預防性投藥(PrEP)計畫,63000
國立臺灣大學醫學院附設醫院新竹台大分院生醫醫院竹北院區,1110101,6000,111年愛滋病毒篩檢與暴露愛滋病毒前預防性投藥(PrEP)計畫,10004
國?臺灣大學醫學院附設醫院新竹臺大分院新竹醫院,1110101,14000,111年愛滋病毒篩檢與暴露愛滋病毒前預防性投藥(PrEP)計畫,10018
臺中榮民總醫院,1110101,1299604,111年愛滋病毒篩檢與暴露愛滋病毒前預防性投藥(PrEP)計畫,66000
臺北市立聯合醫院林森中醫昆明院區,1110101,1985715,111年愛滋病毒篩檢與暴露愛滋病毒前預防性投藥(PrEP)計畫,63000
臺北榮民總醫院,1110101,1259338,111年愛滋病毒篩檢與暴露愛滋病毒前預防性投藥(PrEP)計畫,63000
衛生福利部桃園醫院,1110101,615898,111年愛滋病毒篩檢與暴露愛滋病毒前預防性投藥(PrEP)計畫,68000
國立成功大學醫學院附設醫院,1110101,100000,111年度補助醫院辦理漢生病個案確診及治療計畫,67000
國立臺灣大學醫學院附設醫院,1110101,100000,111年度補助醫院辦理漢生病個案確診及治療計畫,63000
臺中榮民總醫院,1110101,100000,111年度補助醫院辦理漢生病個案確診及治療計畫,66000
衛生福利部樂生療養院,1110101,100000,111年度補助醫院辦理漢生病個案確診及治療計畫,65000
三軍總醫院澎湖分院附設民眾診療服務處,1110414,15000,111年補助腸病毒責任醫院辦理醫護人員教育訓練計畫,10016
高雄榮民總醫院,1110414,29000,111年補助腸病毒責任醫院辦理醫護人員教育訓練計畫,64000
臺中榮民總醫院,1110414,10464,111年補助腸病毒責任醫院辦理醫護人員教育訓練計畫,66000
國立成功大學醫學院附設醫院,1110504,950000,111年度傳染病防治醫療網支援合作醫院補（捐）助行政作業款調整,67000
國立臺灣大學醫學院附設醫院,1110504,950000,111年度傳染病防治醫療網支援合作醫院補（捐）助行政作業款調整,63000
三軍總醫院澎湖分院附設民眾診療服務處,1110705,304000,111年度傳染病防治醫療網應變醫院病房維護費補助,10016
高雄市立民生醫院,1110705,498000,111年度傳染病防治醫療網應變醫院病房維護費補助,64000
國立陽明交通大學附設醫院,1110705,292000,111年度傳染病防治醫療網應變醫院病房維護費補助,10002
國立臺灣大學醫學院附設醫院雲林分院,1110705,809600,111年度傳染病防治醫療網應變醫院病房維護費補助,10009
國立臺灣大學醫學院附設醫院新竹台大分院生醫醫院竹北院區,1110705,492000,111年度傳染病防治醫療網應變醫院病房維護費補助,10004
國?臺灣大學醫學院附設醫院新竹臺大分院新竹醫院,1110705,827200,111年度傳染病防治醫療網應變醫院病房維護費補助,10018
連江縣立醫院,1110705,620000,111年度傳染病防治醫療網應變醫院病房維護費補助,09007
新北市立聯合醫院三重院區,1110705,308000,111年度傳染病防治醫療網應變醫院病房維護費補助,65000
臺北市立聯合醫院和平院區,1110705,3282500,111年度傳染病防治醫療網應變醫院病房維護費補助,63000
衛生福利部花蓮醫院,1110705,624000,111年度傳染病防治醫療網應變醫院病房維護費補助,10015
衛生福利部金門醫院,1110705,780000,111年度傳染病防治醫療網應變醫院病房維護費補助,09020
衛生福利部南投醫院,1110705,308000,111年度傳染病防治醫療網應變醫院病房維護費補助,10008
衛生福利部屏東醫院,1110705,2475000,111年度傳染病防治醫療網應變醫院病房維護費補助,10013
衛生福利部苗栗醫院,1110705,308000,111年度傳染病防治醫療網應變醫院病房維護費補助,10005
衛生福利部桃園醫院新屋分院,1110705,990000,111年度傳染病防治醫療網應變醫院病房維護費補助,68000
