受補（捐）助單位,核准日期,累計撥付金額,補（捐）助事項或用途,縣市代碼
國防醫學院,1070327,850000,高危險病原體及列管毒素檢驗,63000
桃園市政府衛生局,1070101,1984960,傳染病防治計畫,68000
高雄市政府衛生局,1070101,5157692,傳染病防治計畫,64000
新北市政府衛生局,1070101,2139605,傳染病防治計畫,65000
臺中市政府衛生局,1070101,1933600,傳染病防治計畫,66000
臺南市政府衛生局,1070101,4630964,傳染病防治計畫,67000
宜蘭縣政府衛生局,1070101,1046460,傳染病防治計畫,10002
花蓮縣衛生局,1070101,823200,傳染病防治計畫,10015
南投縣政府衛生局,1070101,1097344,傳染病防治計畫,10008
屏東縣政府衛生局,1070101,3868004,傳染病防治計畫,10013
苗栗縣政府衛生局,1070101,861864,傳染病防治計畫,10005
基隆市衛生局,1070101,665092,傳染病防治計畫,10017
雲林縣衛生局,1070101,1137000,傳染病防治計畫,10009
新竹市衛生局,1070101,525604,傳染病防治計畫,10018
新竹縣政府衛生局,1070101,736400,傳染病防治計畫,10004
嘉義市政府衛生局,1070101,707000,傳染病防治計畫,10020
嘉義縣衛生局,1070101,1456600,傳染病防治計畫,10010
彰化縣衛生局,1070101,1519400,傳染病防治計畫,10007
臺東縣衛生局,1070101,761200,傳染病防治計畫,10014
澎湖縣政府衛生局,1070101,563100,傳染病防治計畫,10016
金門縣衛生局,1070101,135940,傳染病防治計畫,09020
連江縣衛生福利局,1070101,137000,傳染病防治計畫,09007
三軍總醫院附設民眾診療服務處,1070222,40000,107年愛滋病指定醫院品質提升計畫-補助系統界接費用,63000
三軍總醫院澎湖分院附設民眾診療服務處,1070222,40000,107年愛滋病指定醫院品質提升計畫-補助系統界接費用,10016
三軍總醫院澎湖分院附設民眾診療服務處,1070410,178000,有關107年傳染病防治醫療網應變醫院病房維護費補（捐）助費用,10016
疫苗基金,1070105,350000000,107年疫苗基金國庫撥補款,63000
高雄市立民生醫院,1070222,40000,107年愛滋病指定醫院品質提升計畫-補助系統界接費用,64000
高雄榮民總醫院,1070222,40000,107年愛滋病指定醫院品質提升計畫-補助系統界接費用,64000
國立中正大學,1070205,30000,補助民間團體及大專院校辦理愛滋病防治工作計畫,10010
國立台灣大學醫學院附設醫院,1070118,100000,107年度補助醫院辦理漢生病個案確診及治療計畫,63000
國立台灣大學醫學院附設醫院,1070222,40000,107年愛滋病指定醫院品質提升計畫-補助系統界接費用,63000
國立台灣大學醫學院附設醫院,1070312,700000,107年補(捐)助支援合作醫院相關行政費,63000
國立成功大學醫學院附設醫院,1070118,100000,107年度補助醫院辦理漢生病個案確診及治療計畫,67000
國立成功大學醫學院附設醫院,1070222,40000,107年愛滋病指定醫院品質提升計畫-補助系統界接費用,67000
國立成功大學醫學院附設醫院,1070312,700000,107年補(捐)助支援合作醫院相關行政費,67000
國立高雄大學,1070205,10000,補助民間團體及大專院校辦理愛滋病防治工作計畫,64000
國立高雄第一科技大學,1070205,10000,補助民間團體及大專院校辦理愛滋病防治工作計畫,64000
國立陽明大學附設醫院,1070222,40000,107年愛滋病指定醫院品質提升計畫-補助系統界接費用,
國立彰化師範大學,1070205,10000,補助民間團體及大專院校辦理愛滋病防治工作計畫,10007
國立臺中科技大學,1070205,10000,補助民間團體及大專院校辦理愛滋病防治工作計畫,66000
國立臺灣大學醫學院附設醫院金山分院,1070222,40000,107年愛滋病指定醫院品質提升計畫-補助系統界接費用,65000
國立臺灣大學醫學院附設醫院雲林分院,1070222,40000,107年愛滋病指定醫院品質提升計畫-補助系統界接費用,10009
國軍高雄總醫院左營分院附設民眾診療服務處,1070222,40000,107年愛滋病指定醫院品質提升計畫-補助系統界接費用,64000
連江縣立醫院,1070410,136000,有關107年傳染病防治醫療網應變醫院病房維護費補（捐）助費用,09007
臺中榮民總醫院,1070118,80000,107年度補助醫院辦理漢生病個案確診及治療計畫,66000
臺中榮民總醫院,1070221,40000,107年愛滋病指定醫院品質提升計畫-補助系統界接費用,66000
臺中榮民總醫院埔里分院,1070221,40000,107年愛滋病指定醫院品質提升計畫-補助系統界接費用,10008
臺中榮民總醫院嘉義分院,1070222,40000,107年愛滋病指定醫院品質提升計畫-補助系統界接費用,10020
臺北市立聯合醫院,1070222,40000,107年愛滋病指定醫院品質提升計畫-補助系統界接費用,63000
臺北市立聯合醫院,1070201,146400,107年抗生素抗藥性管理通報系統補捐助案補捐助經費,63000
臺北市立聯合醫院和平院區,1070410,1400000,有關107年傳染病防治醫療網應變醫院病房維護費補（捐）助費用,63000
臺北市立聯合醫院松德院區,1070109,372560,愛滋防治替代治療補助計畫-Suboxone藥品補助,63000
臺北榮民總醫院,1070222,40000,107年愛滋病指定醫院品質提升計畫-補助系統界接費用,63000
衛生福利部花蓮醫院,1070410,630000,有關107年傳染病防治醫療網應變醫院病房維護費補（捐）助費用,10015
衛生福利部金門醫院,1070222,40000,107年愛滋病指定醫院品質提升計畫-補助系統界接費用,09020
衛生福利部金門醫院,1070410,186000,有關107年傳染病防治醫療網應變醫院病房維護費補（捐）助費用,09020
衛生福利部南投醫院,1070221,40000,107年愛滋病指定醫院品質提升計畫-補助系統界接費用,10008
衛生福利部屏東醫院,1070222,40000,107年愛滋病指定醫院品質提升計畫-補助系統界接費用,10013
衛生福利部屏東醫院,1070410,934800,有關107年傳染病防治醫療網應變醫院病房維護費補（捐）助費用,10013
衛生福利部桃園醫院,1070214,40000,107年愛滋病指定醫院品質提升計畫-補助系統界接費用,68000
衛生福利部桃園醫院,1070201,146400,107年抗生素抗藥性管理通報系統補捐助案補捐助經費,68000
衛生福利部桃園醫院新屋分院,1070214,40000,107年愛滋病指定醫院品質提升計畫-補助系統界接費用,68000
衛生福利部桃園醫院新屋分院,1070410,968000,有關107年傳染病防治醫療網應變醫院病房維護費補（捐）助費用,68000
衛生福利部嘉南療養院,1070109,43120,愛滋防治替代治療補助計畫-Suboxone藥品補助,67000
衛生福利部彰化醫院,1070221,40000,107年愛滋病指定醫院品質提升計畫-補助系統界接費用,10007
衛生福利部臺中醫院,1070221,40000,107年愛滋病指定醫院品質提升計畫-補助系統界接費用,66000
