單位類別,受補助單位,補助日期,撥款金額,核准日期,累計撥款金額,補助事項或支出用途,縣市代碼
團體,財團法人私立高雄醫學大學附設中和紀念醫院,1060120,0,1051219,536907,105-106年愛滋病毒篩檢與暴露愛滋病毒前預防性投藥前驅計畫,64000
團體,台灣基督長老教會馬偕醫療財團法人馬偕紀念醫院,1060125,0,1060101,50000,106年度補助醫院辦理漢生病個案確診及治療計畫,63000
團體,中華身心健康促進暨研究協會,1060202,0,1060120,140000,106年補助民間團體及大專院校愛滋病防治工作計畫,68000
團體,世界和平婦女會台灣總會,1060202,0,1060120,80000,106年補助民間團體及大專院校愛滋病防治工作計畫,63000
團體,台灣愛滋病學會,1060202,0,1060120,400000,106年補助民間團體及大專院校愛滋病防治工作計畫,63000
團體,社團法人中華民國台灣懷愛協會,1060201,0,1060120,100000,106年補助民間團體及大專院校愛滋病防治工作計畫,66000
團體,社團法人中華民國社會工作師公會全國聯合會,1060201,0,1060120,100000,106年補助民間團體及大專院校愛滋病防治工作計畫,66000
團體,社團法人中華民國愛滋感染者權益促進會,1060201,0,1060120,320000,106年補助民間團體及大專院校愛滋病防治工作計畫,63000
團體,社團法人台灣世界快樂聯盟,1060201,0,1060120,100000,106年補助民間團體及大專院校愛滋病防治工作計畫,10013
團體,社團法人台灣愛之希望協會,1060202,0,1060120,280000,106年補助民間團體及大專院校愛滋病防治工作計畫,64000
團體,社團法人台灣愛滋病護理學會,1060202,0,1060120,360000,106年補助民間團體及大專院校愛滋病防治工作計畫,63000
團體,社團法人台灣愛滋關懷協會,1060202,0,1060120,80000,106年補助民間團體及大專院校愛滋病防治工作計畫,63000
團體,社團法人台灣露德協會,1060201,0,1060120,1160000,106年補助民間團體及大專院校愛滋病防治工作計畫,63000
團體,財團法人台灣紅絲帶基金會,1060201,0,1060120,720000,106年補助民間團體及大專院校愛滋病防治工作計畫,63000
團體,財團法人台灣關愛基金會,1060202,0,1060120,100000,106年補助民間團體及大專院校愛滋病防治工作計畫,63000
團體,財團法人護理人員愛滋病防治基金會,1060202,0,1060120,100000,106年補助民間團體及大專院校愛滋病防治工作計畫,63000
團體,大千綜合醫院,1060413,30000,1060207,30000,愛滋防治替代治療補助計畫,10005
團體,中國醫藥大學北港附設醫院,1060414,60000,1060207,60000,愛滋防治替代治療補助計畫,10009
團體,中國醫藥大學附設醫院,1060407,320000,1060207,320000,愛滋防治替代治療補助計畫,66000
團體,天主教若瑟醫療財團法人若瑟醫院,1060414,150000,1060207,150000,愛滋防治替代治療補助計畫,10009
團體,天主教耕莘醫療財團法人耕莘醫院,1060413,60000,1060207,60000,愛滋防治替代治療補助計畫,65000
團體,台南市立醫院,1060414,60000,1060207,60000,愛滋防治替代治療補助計畫,67000
團體,安泰醫療社團法人安泰醫院,1060407,70000,1060207,70000,愛滋防治替代治療補助計畫,10013
團體,李綜合醫療社團法人苑裡李綜合醫院,1060427,30000,1060207,30000,愛滋防治替代治療補助計畫,10005
團體,阮綜合醫療社團法人阮綜合醫院,1060414,60000,1060207,60000,愛滋防治替代治療補助計畫,64000
團體,奇美醫療財團法人奇美醫院台南分院,1060421,90000,1060207,90000,愛滋防治替代治療補助計畫,66000
團體,長庚醫療財團法人高雄長庚紀念醫院,1060511,90000,1060207,90000,愛滋防治替代治療補助計畫,64000
團體,長庚醫療財團法人基隆長庚紀念醫院,1060420,70000,1060207,70000,愛滋防治替代治療補助計畫,10017
團體,屏安醫院,1060414,60000,1060207,60000,愛滋防治替代治療補助計畫,10013
團體,財團法人天主教靈醫會羅東聖母醫院,1060414,100000,1060207,100000,愛滋防治替代治療補助計畫,10002
團體,財團法人台灣省私立高雄仁愛之家附設慈惠醫院,1060407,80000,1060207,80000,愛滋防治替代治療補助計畫,64000
團體,財團法人私立高雄醫學大學附設中和紀念醫院,1060414,140000,1060207,140000,愛滋防治替代治療補助計畫,64000
團體,財團法人為恭紀念醫院,1060414,60000,1060207,60000,愛滋防治替代治療補助計畫,10005
團體,童綜合醫療社團法人童綜合醫院,1060414,250000,1060207,250000,愛滋防治替代治療補助計畫,66000
團體,新中興醫院,1060414,60000,1060207,60000,愛滋防治替代治療補助計畫,10018
團體,義大醫療財團法人義大醫院,1060413,90000,1060207,90000,愛滋防治替代治療補助計畫,64000
團體,彰化基督教醫療財團法人鹿東基督教醫院,1060413,70000,1060207,70000,愛滋防治替代治療補助計畫,10007
團體,維新醫療社團法人台中維新醫院,1060413,70000,1060207,70000,愛滋防治替代治療補助計畫,66000
團體,臺南市立安南醫院-委託中國醫藥大學興建經營,1060414,60000,1060207,60000,愛滋防治替代治療補助計畫,67000
團體,賢德醫院,1060413,60000,1060207,60000,愛滋防治替代治療補助計畫,66000
團體,醫療財團法人徐元智先生醫藥基金會亞東紀念醫院,1060414,140000,1060207,140000,愛滋防治替代治療補助計畫,65000
團體,醫療財團法人羅許基金會羅東博愛醫院,1060414,160000,1060207,160000,愛滋防治替代治療補助計畫,10002
團體,財團法人台灣關愛基金會,1060310,0,1060209,1680000,106年度補助民間團體辦理愛滋長期照顧安置服務工作計畫,63000
團體,社團法人台灣預防醫學學會,1060306,0,1060210,480000,推廣愛滋及性傳染病衛教諮詢與篩檢工作補助計畫,63000
團體,光田醫療社團法人光田綜合醫院,1060413,50000,1060216,50000,愛滋病指定醫院服務品質提升計畫-資訊系統介接,66000
團體,佛教慈濟醫療財團法人大林慈濟醫院,1060413,50000,1060216,50000,愛滋病指定醫院服務品質提升計畫-資訊系統介接,10010
團體,佛教慈濟醫療財團法人台中慈濟醫院,1060411,50000,1060216,50000,愛滋病指定醫院服務品質提升計畫-資訊系統介接,66000
團體,佛教慈濟醫療財團法人台北慈濟醫院,1060407,50000,1060216,50000,愛滋病指定醫院服務品質提升計畫-資訊系統介接,65000
團體,秀傳醫療社團法人秀傳紀念醫院,1060401,50000,1060216,50000,愛滋病指定醫院服務品質提升計畫-資訊系統介接,10007
團體,秀傳醫療財團法人彰濱秀傳紀念醫院,1060414,50000,1060216,50000,愛滋病指定醫院服務品質提升計畫-資訊系統介接,10007
團體,長庚醫療財團法人高雄長庚紀念醫院,1060413,50000,1060216,50000,愛滋病指定醫院服務品質提升計畫-資訊系統介接,64000
團體,財團法人為恭紀念醫院,1060413,11500,1060216,11500,愛滋病指定醫院服務品質提升計畫-資訊系統介接,10005
團體,國泰醫療財團法人國泰綜合醫院,1060407,50000,1060216,50000,愛滋病指定醫院服務品質提升計畫-資訊系統介接,63000
團體,彰化基督教醫療財團法人員林基督教醫院,1060414,50000,1060216,50000,愛滋病指定醫院服務品質提升計畫-資訊系統介接,10007
團體,中華身心健康促進暨研究協會,1060306,0,1060223,30000,推廣愛滋及性傳染病衛教諮詢與篩檢工作補助計畫,68000
團體,社團法人台北市日日春關懷互助協會,1060306,0,1060223,200000,推廣愛滋及性傳染病衛教諮詢與篩檢工作補助計畫,63000
團體,社團法人台灣世界快樂聯盟,1060306,0,1060223,150000,推廣愛滋及性傳染病衛教諮詢與篩檢工作補助計畫,10013
團體,社團法人台灣愛之希望協會,1060306,0,1060223,400000,推廣愛滋及性傳染病衛教諮詢與篩檢工作補助計畫,64000
團體,社團法人台灣露德協會,1060306,0,1060223,150000,推廣愛滋及性傳染病衛教諮詢與篩檢工作補助計畫,63000
團體,財團法人台灣紅絲帶基金會,1060306,0,1060223,256000,推廣愛滋及性傳染病衛教諮詢與篩檢工作補助計畫,63000
團體,中山醫學大學附設醫院,1060508,144750,1060308,144750,抗生素抗藥性管理通報系統,66000
團體,中國醫藥大學附設醫院,1060508,144750,1060308,144750,抗生素抗藥性管理通報系統,66000
團體,中國醫藥大學附設醫院,1060316,0,1060308,680000,補助支援合作醫院相關行政費,66000
團體,天主教耕莘醫療財團法人耕莘醫院,1060508,57900,1060308,57900,抗生素抗藥性管理通報系統,65000
團體,安泰醫療社團法人安泰醫院,1060508,144750,1060308,144750,抗生素抗藥性管理通報系統,10013
團體,佛教慈濟醫療財團法人花蓮慈濟醫院,1060316,0,1060308,680000,補助支援合作醫院相關行政費,10015
團體,奇美醫療財團法人奇美醫院,1060508,57900,1060308,57900,抗生素抗藥性管理通報系統,67000
