單位類別,受補助單位,補助日期,撥款金額,核准日期,累計撥款金額,補助事項或支出用途,縣市別
縣市政府,桃園市政府衛生局,1070319,"1,984,960",1070101,"1,984,960",傳染病防治計畫,桃園市
縣市政府,高雄市政府衛生局,1070307,"5,157,692",1070101,"5,157,692",傳染病防治計畫,高雄市
縣市政府,新北市政府衛生局,1070319,"2,139,605",1070101,"2,139,605",傳染病防治計畫,新北市
縣市政府,臺中市政府衛生局,1070307,"1,933,600",1070101,"1,933,600",傳染病防治計畫,臺中市
縣市政府,臺南市政府衛生局,1070320,"4,630,964",1070101,"4,630,964",傳染病防治計畫,臺南市
縣市政府,宜蘭縣政府衛生局,1070309,"1,046,460",1070101,"1,046,460",傳染病防治計畫,宜蘭縣
縣市政府,花蓮縣衛生局,1070307,"823,200",1070101,"823,200",傳染病防治計畫,花蓮縣
縣市政府,南投縣政府衛生局,1070308,"1,097,344",1070101,"1,097,344",傳染病防治計畫,南投縣
縣市政府,屏東縣政府衛生局,1070307,"3,868,004",1070101,"3,868,004",傳染病防治計畫,屏東縣
縣市政府,苗栗縣政府衛生局,1070307,"861,864",1070101,"861,864",傳染病防治計畫,苗栗縣
縣市政府,基隆市衛生局,1070313,"665,092",1070101,"665,092",傳染病防治計畫,基隆市
縣市政府,雲林縣衛生局,1070307,"1,137,000",1070101,"1,137,000",傳染病防治計畫,雲林縣
縣市政府,新竹市衛生局,1070307,"525,604",1070101,"525,604",傳染病防治計畫,新竹市
縣市政府,新竹縣政府衛生局,1070308,"736,400",1070101,"736,400",傳染病防治計畫,新竹縣
縣市政府,嘉義市政府衛生局,1070320,"707,000",1070101,"707,000",傳染病防治計畫,嘉義市
縣市政府,嘉義縣衛生局,1070312,"1,456,600",1070101,"1,456,600",傳染病防治計畫,嘉義縣
縣市政府,彰化縣衛生局,1070307,"1,519,400",1070101,"1,519,400",傳染病防治計畫,彰化縣
縣市政府,臺東縣衛生局,1070307,"761,200",1070101,"761,200",傳染病防治計畫,臺東縣
縣市政府,澎湖縣政府衛生局,1070313,"563,100",1070101,"563,100",傳染病防治計畫,澎湖縣
縣市政府,金門縣衛生局,1070313,"135,940",1070101,"135,940",傳染病防治計畫,金門縣
縣市政府,連江縣衛生福利局,1070323,"137,000",1070101,"137,000",傳染病防治計畫,連江縣
團體,天主教中華聖母修女會醫療財團法人天主教聖馬爾定醫院,1070223,"58,560",1070101,"58,560",107年抗生素抗藥性管理通報系統補捐助案補捐助經費,嘉義市
團體,佛教慈濟醫療財團法人花蓮慈濟醫院,1070221,"58,560",1070101,"58,560",107年抗生素抗藥性管理通報系統補捐助案補捐助經費,花蓮縣
團體,長庚醫療財團法人嘉義長庚紀念醫院,1070221,"58,560",1070101,"58,560",107年抗生素抗藥性管理通報系統補捐助案補捐助經費,嘉義縣
團體,振興醫療財團法人振興醫院,1070221,"58,560",1070101,"58,560",107年抗生素抗藥性管理通報系統補捐助案補捐助經費,臺北市
團體,財團法人為恭紀念醫院,1070221,"146,400",1070101,"146,400",107年抗生素抗藥性管理通報系統補捐助案補捐助經費,苗栗縣
團體,高雄市立大同醫院(委託財團法人私立高雄醫學大學附設中和紀念醫院經營),1070221,"146,400",1070101,"146,400",107年抗生素抗藥性管理通報系統補捐助案補捐助經費,高雄市
團體,義大醫療財團法人義大醫院,1070221,"58,560",1070101,"58,560",107年抗生素抗藥性管理通報系統補捐助案補捐助經費,高雄市
團體,醫療財團法人羅許基金會羅東博愛醫院,1070221,"146,400",1070101,"146,400",107年抗生素抗藥性管理通報系統補捐助案補捐助經費,宜蘭縣
團體,台灣基督長老教會馬偕醫療財團法人馬偕紀念醫院,1070208,"50,000",1070118,"50,000",107年度補助醫院辦理漢生病個案確診及治療計畫,臺北市
團體,財團法人台灣紅絲帶基金會,1070308,"960,000",1070205,"960,000",補助民間團體及大專院校辦理愛滋病防治工作計畫,臺北市
團體,財團法人台灣關愛基金會,1070308,"1,440,000",1070205,"1,440,000",補助民間團體及大專院校辦理愛滋病防治工作計畫,臺北市
團體,佛教慈濟醫療財團法人花蓮慈濟醫院,1070322,"40,000",1070214,"40,000",107年愛滋病指定醫院品質提升計畫-補助系統界接費用,花蓮縣
團體,長庚醫療財團法人林口長庚紀念醫院,1070322,"40,000",1070214,"40,000",107年愛滋病指定醫院品質提升計畫-補助系統界接費用,桃園市
團體,中山醫學大學附設醫院,1070321,"40,000",1070221,"40,000",107年愛滋病指定醫院品質提升計畫-補助系統界接費用,臺中市
團體,中國醫藥大學附設醫院,1070320,"40,000",1070221,"40,000",107年愛滋病指定醫院品質提升計畫-補助系統界接費用,臺中市
團體,秀傳醫療財團法人彰濱秀傳紀念醫院,1070320,"40,000",1070221,"40,000",107年愛滋病指定醫院品質提升計畫-補助系統界接費用,彰化縣
團體,彰化基督教醫療財團法人員林基督教醫院,1070322,"40,000",1070221,"40,000",107年愛滋病指定醫院品質提升計畫-補助系統界接費用,彰化縣
團體,彰化基督教醫療財團法人彰化基督教醫院,1070327,"40,000",1070221,"40,000",107年愛滋病指定醫院品質提升計畫-補助系統界接費用,彰化縣
團體,天主教若瑟醫療財團法人若瑟醫院,1070315,"40,000",1070222,"40,000",107年愛滋病指定醫院品質提升計畫-補助系統界接費用,雲林縣
團體,佛教慈濟醫療財團法人大林慈濟醫院,1070328,"40,000",1070222,"40,000",107年愛滋病指定醫院品質提升計畫-補助系統界接費用,嘉義縣
團體,佛教慈濟醫療財團法人台北慈濟醫院,1070326,"40,000",1070222,"40,000",107年愛滋病指定醫院品質提升計畫-補助系統界接費用,新北市
團體,奇美醫療財團法人奇美醫院,1070326,"40,000",1070222,"40,000",107年愛滋病指定醫院品質提升計畫-補助系統界接費用,臺南市
團體,長庚醫療財團法人台北長庚紀念醫院,1070319,"40,000",1070222,"40,000",107年愛滋病指定醫院品質提升計畫-補助系統界接費用,臺北市
團體,屏基醫療財團法人屏東基督教醫院,1070321,"40,000",1070222,"40,000",107年愛滋病指定醫院品質提升計畫-補助系統界接費用,屏東縣
團體,財團法人天主教靈醫會羅東聖母醫院,1070315,"40,000",1070222,"40,000",107年愛滋病指定醫院品質提升計畫-補助系統界接費用,宜蘭縣
團體,財團法人私立高雄醫學大學附設中和紀念醫院,1070320,"700,000",1070308,"700,000",107年補(捐)助支援合作醫院相關行政費,高雄市
團體,中國醫藥大學附設醫院,1070320,"700,000",1070312,"700,000",107年補(捐)助支援合作醫院相關行政費,臺中市
團體,佛教慈濟醫療財團法人花蓮慈濟醫院,1070320,"700,000",1070312,"700,000",107年補(捐)助支援合作醫院相關行政費,花蓮縣
團體,長庚醫療財團法人林口長庚紀念醫院,1070322,"700,000",1070312,"700,000",107年補(捐)助支援合作醫院相關行政費,桃園市
團體,中華民國學校衛生護理學會,1070208,"697,200",1070101,"697,200",107年結核病防治教育訓練計畫-校園結核病防治教育訓練,嘉義市
團體,台灣結核暨肺部疾病醫學會,1070202,"1,085,000",1070101,"1,085,000",107年結核病防治教育訓練計畫-結核病個案管理師教育訓練及認證,臺北市
團體,台灣結核暨肺部疾病醫學會,1070202,"665,000",1070101,"665,000",107年結核病防治教育訓練計畫-醫師結核病防治教育訓練,臺北市
團體,光田醫療社團法人光田綜合醫院,1070221,"146,400",1070101,"146,400",107年抗生素抗藥性管理通報系統補捐助案補捐助經費,臺中市
團體,秀傳醫療社團法人秀傳紀念醫院,1070221,"146,400",1070101,"146,400",107年抗生素抗藥性管理通報系統補捐助案補捐助經費,彰化縣
團體,澄清綜合醫院中港分院,1070221,"146,400",1070101,"146,400",107年抗生素抗藥性管理通報系統補捐助案補捐助經費,臺中市
團體,中華民國台灣女童軍總會,1070308,"60,000",1070205,"60,000",補助民間團體及大專院校辦理愛滋病防治工作計畫,臺北市
團體,中華身心健康促進暨研究協會,1070308,"50,000",1070205,"50,000",補助民間團體及大專院校辦理愛滋病防治工作計畫,桃園市
團體,世界和平婦女會台灣總會,1070308,"80,000",1070205,"80,000",補助民間團體及大專院校辦理愛滋病防治工作計畫,臺北市
團體,台灣年輕藥師協會,1070308,"200,000",1070205,"200,000",補助民間團體及大專院校辦理愛滋病防治工作計畫,臺北市
團體,台灣愛滋病學會,1070312,"960,000",1070205,"960,000",補助民間團體及大專院校辦理愛滋病防治工作計畫,臺北市
團體,社團法人中華民國台灣懷愛協會,1070312,"100,000",1070205,"100,000",補助民間團體及大專院校辦理愛滋病防治工作計畫,臺中市
團體,社團法人中華民國愛滋感染者權益促進會,1070320,"200,000",1070205,"200,000",補助民間團體及大專院校辦理愛滋病防治工作計畫,臺北市
團體,社團法人中華民國醫務社會工作協會,1070308,"100,000",1070205,"100,000",補助民間團體及大專院校辦理愛滋病防治工作計畫,臺北市
團體,社團法人台北市日日春關懷互助協會,1070312,"200,000",1070205,"200,000",補助民間團體及大專院校辦理愛滋病防治工作計畫,臺北市
團體,社團法人台灣世界快樂聯盟,1070308,"80,000",1070205,"80,000",補助民間團體及大專院校辦理愛滋病防治工作計畫,屏東縣
團體,社團法人台灣愛之希望協會,1070308,"680,000",1070205,"680,000",補助民間團體及大專院校辦理愛滋病防治工作計畫,高雄市
團體,社團法人台灣愛滋病護理學會,1070308,"520,000",1070205,"520,000",補助民間團體及大專院校辦理愛滋病防治工作計畫,臺北市
團體,社團法人台灣新滋識同盟,1070309,"120,000",1070205,"120,000",補助民間團體及大專院校辦理愛滋病防治工作計畫,新北市
團體,社團法人台灣預防醫學學會,1070308,"855,000",1070205,"855,000",補助民間團體及大專院校辦理愛滋病防治工作計畫,臺北市
團體,社團法人台灣露德協會,1070308,"1,160,000",1070205,"1,160,000",補助民間團體及大專院校辦理愛滋病防治工作計畫,臺北市
團體,社團法人臺灣兒科醫學會,1070309,"200,000",1070205,"200,000",補助民間團體及大專院校辦理愛滋病防治工作計畫,臺北市
團體,光田醫療社團法人光田綜合醫院,1070327,"40,000",1070221,"40,000",107年愛滋病指定醫院品質提升計畫-補助系統界接費用,臺中市
團體,秀傳醫療社團法人秀傳紀念醫院,1070322,"40,000",1070221,"40,000",107年愛滋病指定醫院品質提升計畫-補助系統界接費用,彰化縣
團體,林新醫療社團法人林新醫院,1070327,"40,000",1070221,"40,000",107年愛滋病指定醫院品質提升計畫-補助系統界接費用,臺中市
團體,童綜合醫療社團法人童綜合醫院,1070321,"40,000",1070221,"40,000",107年愛滋病指定醫院品質提升計畫-補助系統界接費用,臺中市
團體,澄清綜合醫院中港分院,1070321,"40,000",1070221,"40,000",107年愛滋病指定醫院品質提升計畫-補助系統界接費用,臺中市
團體,安泰醫療社團法人安泰醫院,1070321,"40,000",1070222,"40,000",107年愛滋病指定醫院品質提升計畫-補助系統界接費用,屏東縣
