受補（捐）助單位,核准日期,累計撥付金額,補（捐）助事項或用途,縣市代碼
臺中市政府衛生局,1090313,2417400,傳染病防治計畫,66000
臺南市政府衛生局,1090313,4868400,傳染病防治計畫,67000
高雄市政府衛生局,1090313,6154740,傳染病防治計畫,64000
桃園市政府衛生局,1090313,3513073,傳染病防治計畫,68000
宜蘭縣政府衛生局,1090313,1799000,傳染病防治計畫,10002
花蓮縣衛生局,1090313,2279000,傳染病防治計畫,10015
南投縣政府衛生局,1090313,2781200,傳染病防治計畫,10008
苗栗縣政府衛生局,1090313,1328000,傳染病防治計畫,10005
基隆市衛生局,1090313,678400,傳染病防治計畫,10017
雲林縣衛生局,1090313,1095000,傳染病防治計畫,10009
新竹市衛生局,1090313,512000,傳染病防治計畫,10018
新竹縣政府衛生局,1090313,1899600,傳染病防治計畫,10004
嘉義縣衛生局,1090313,2547600,傳染病防治計畫,10010
彰化縣衛生局,1090313,1741000,傳染病防治計畫,10007
臺東縣衛生局,1090313,1908400,傳染病防治計畫,10014
金門縣衛生局,1090313,107500,傳染病防治計畫,09020
連江縣衛生福利局,1090313,125000,傳染病防治計畫,09007
國軍高雄總醫院左營分院附設民眾診療服務處,1090101,49585,109年抗生素抗藥性管理通報系統補捐助案,64000
衛生福利部臺中醫院,1090101,49585,109年抗生素抗藥性管理通報系統補捐助案,66000
疫苗基金,1090110,310000000,109年疫苗基金國庫撥補款,63000
國立成功大學醫學院附設醫院,1090203,100000,109年度補助醫院辦理漢生病個案確診及治療計畫,67000
國立臺灣大學醫學院附設醫院,1090203,100000,109年度補助醫院辦理漢生病個案確診及治療計畫,63000
臺中榮民總醫院,1090203,100000,109年度補助醫院辦理漢生病個案確診及治療計畫,66000
高雄市立民生醫院,1090210,12500,109年愛滋病毒篩檢與暴露愛滋病毒前預防性投藥計畫(PrEP)計畫,64000
國立成功大學醫學院附設醫院,1090210,10000,109年愛滋病毒篩檢與暴露愛滋病毒前預防性投藥計畫(PrEP)計畫,67000
