受補（捐）助單位,核准日期,累計撥付金額,補（捐）助事項或用途,縣市代碼
宜蘭縣政府衛生局,1140101,5406000,114年傳染病防治計畫,10002
花蓮縣衛生局,1140101,7720000,114年傳染病防治計畫,10015
金門縣衛生局,1140101,1107000,114年傳染病防治計畫,09020
南投縣政府衛生局,1140101,8675000,114年傳染病防治計畫,10008
屏東縣政府衛生局,1140101,15401000,114年傳染病防治計畫,10013
苗栗縣政府衛生局,1140101,4962000,114年傳染病防治計畫,10005
桃園市政府衛生局,1140101,7832000,114年傳染病防治計畫,68000
高雄市政府衛生局,1140101,16095000,114年傳染病防治計畫,64000
基隆市衛生局,1140101,3115000,114年傳染病防治計畫,10017
連江縣衛生局,1140101,1093000,114年傳染病防治計畫,09007
雲林縣衛生局,1140101,4084000,114年傳染病防治計畫,10009
新北市政府衛生局,1140101,8082000,114年傳染病防治計畫,65000
新竹市衛生局,1140101,3131000,114年傳染病防治計畫,10018
新竹縣政府衛生局,1140101,5199000,114年傳染病防治計畫,10004
嘉義市政府衛生局,1140101,2948000,114年傳染病防治計畫,10020
嘉義縣衛生局,1140101,6553000,114年傳染病防治計畫,10010
彰化縣衛生局,1140101,4481000,114年傳染病防治計畫,10007
臺中市政府衛生局,1140101,8267000,114年傳染病防治計畫,10019
臺東縣衛生局,1140101,6462000,114年傳染病防治計畫,10014
臺南市政府衛生局,1140101,12784000,114年傳染病防治計畫,10021
澎湖縣政府衛生局,1140101,2187000,114年傳染病防治計畫,10016
國立陽明交通大學附設醫院,1140101,3900,114年度愛滋病指定醫事機構整合式服務計畫,10002
惠登藥師藥局,1140101,4500,114年度愛滋病指定醫事機構整合式服務計畫,10002
健安藥局,1140101,4800,114年度愛滋病指定醫事機構整合式服務計畫,10015
竹山秀傳醫療社團法人竹山秀傳醫院,1140101,4200,114年度愛滋病指定醫事機構整合式服務計畫,10008
埔基醫療財團法人埔里基督教醫院,1140101,4500,114年度愛滋病指定醫事機構整合式服務計畫,10008
人和藥局,1140101,4800,114年度愛滋病指定醫事機構整合式服務計畫,10013
家安藥師藥局,1140101,3900,114年度愛滋病指定醫事機構整合式服務計畫,10013
心惠聯合藥局,1140101,4800,114年度愛滋病指定醫事機構整合式服務計畫,10005
米樂中西健保藥局,1140101,4200,114年度愛滋病指定醫事機構整合式服務計畫,10005
聯合藥師藥局,1140101,4800,114年度愛滋病指定醫事機構整合式服務計畫,10005
懷山中西藥局,1140101,3900,114年度愛滋病指定醫事機構整合式服務計畫,10005
懷生中西藥局,1140101,7200,114年度愛滋病指定醫事機構整合式服務計畫,10005
懷信中西藥局,1140101,19000,114年度愛滋病指定醫事機構整合式服務計畫,10005
懷慶中西藥局,1140101,3600,114年度愛滋病指定醫事機構整合式服務計畫,10005
大成辰安藥局,1140101,16300,114年度愛滋病指定醫事機構整合式服務計畫,68000
柏愛藥局,1140101,46000,114年度愛滋病指定醫事機構整合式服務計畫,68000
敏盛綜合醫院,1140101,9600,114年度愛滋病指定醫事機構整合式服務計畫,68000
人和藥局,1140101,6600,114年度愛滋病指定醫事機構整合式服務計畫,64000
財團法人私立高雄醫學大學附設高醫岡山醫院,1140101,16600,114年度愛滋病指定醫事機構整合式服務計畫,64000
高雄榮民總醫院,1140101,5400,114年度愛滋病指定醫事機構整合式服務計畫,64000
健仁醫院,1140101,6600,114年度愛滋病指定醫事機構整合式服務計畫,64000
天文大藥局,1140101,5100,114年度愛滋病指定醫事機構整合式服務計畫,65000
出雲藥局,1140101,9600,114年度愛滋病指定醫事機構整合式服務計畫,65000
柏愛藥局,1140101,33600,114年度愛滋病指定醫事機構整合式服務計畫,65000
皇誼藥局,1140101,6600,114年度愛滋病指定醫事機構整合式服務計畫,65000
康妍藥局,1140101,9600,114年度愛滋病指定醫事機構整合式服務計畫,10018
得安專業藥師藥局,1140101,16600,114年度愛滋病指定醫事機構整合式服務計畫,10018
東元醫療社團法人東元綜合醫院,1140101,6600,114年度愛滋病指定醫事機構整合式服務計畫,10004
國立臺灣大學醫學院附設醫院新竹臺大分院生醫醫院竹北院區,1140101,4800,114年度愛滋病指定醫事機構整合式服務計畫,10004
臺中榮民總醫院嘉義分院,1140101,5400,114年度愛滋病指定醫事機構整合式服務計畫,10020
福興瑞安藥局,1140101,16600,114年度愛滋病指定醫事機構整合式服務計畫,10010
日信藥局員林店,1140101,5400,114年度愛滋病指定醫事機構整合式服務計畫,10007
柚子藥局,1140101,17200,114年度愛滋病指定醫事機構整合式服務計畫,10007
彰化基督教醫療財團法人彰化基督教醫院,1140101,5700,114年度愛滋病指定醫事機構整合式服務計畫,10007
美日藥局,1140101,9600,114年度愛滋病指定醫事機構整合式服務計畫,10019
睦林藥局,1140101,6600,114年度愛滋病指定醫事機構整合式服務計畫,10019
德安藥局,1140101,14100,114年度愛滋病指定醫事機構整合式服務計畫,10019
柏愛藥局,1140101,33600,114年度愛滋病指定醫事機構整合式服務計畫,63000
