受補（捐）助單位,核准日期,累計撥付金額,補（捐）助事項或用途,縣市代碼
新北市政府衛生局,1130101,5468000,113年傳染病防治計畫,65000
桃園市政府衛生局,1130101,5234000,113年傳染病防治計畫,68000
臺中市政府衛生局,1130101,5340000,113年傳染病防治計畫,10019
臺南市政府衛生局,1130101,10356000,113年傳染病防治計畫,10021
臺南市政府衛生局,1130612,7000000,113年度臺南市登革熱天溝拆除及維護計畫,10021
高雄市政府衛生局,1130101,13583000,113年傳染病防治計畫,64000
宜蘭縣政府衛生局,1130101,4273000,113年傳染病防治計畫,10002
新竹縣政府衛生局,1130101,4045000,113年傳染病防治計畫,10004
苗栗縣政府衛生局,1130101,3750000,113年傳染病防治計畫,10005
彰化縣衛生局,1130101,3184000,113年傳染病防治計畫,10007
南投縣政府衛生局,1130101,7338000,113年傳染病防治計畫,10008
雲林縣衛生局,1130101,2844000,113年傳染病防治計畫,10009
嘉義縣衛生局,1130101,5383000,113年傳染病防治計畫,10010
屏東縣政府衛生局,1130101,13370000,113年傳染病防治計畫,10013
臺東縣衛生局,1130101,4925000,113年傳染病防治計畫,10014
花蓮縣衛生局,1130101,6336000,113年傳染病防治計畫,10015
澎湖縣政府衛生局,1130101,1356000,113年傳染病防治計畫,10016
金門縣衛生局,1130101,715000,113年傳染病防治計畫,09020
連江縣衛生局,1130101,304000,113年傳染病防治計畫,09007
基隆市衛生局,1130101,1988000,113年傳染病防治計畫,10017
新竹市衛生局,1130101,1923000,113年傳染病防治計畫,10018
嘉義市政府衛生局,1130101,1792000,113年傳染病防治計畫,10020
