受補（捐）助單位,核准日期,累計撥付金額,補（捐）助事項或用途,縣市代碼
國防醫學院,1100415,1600000,協助本署執行高危險病原體及列管毒素檢驗,63000
新北市政府衛生局,1100304,2243400,傳染病防治計畫,65000
臺中市政府衛生局,1100304,2265500,傳染病防治計畫,66000
臺南市政府衛生局,1100304,4993200,傳染病防治計畫,67000
高雄市政府衛生局,1100304,4609800,傳染病防治計畫,64000
桃園市政府衛生局,1100304,3018113,傳染病防治計畫,68000
宜蘭縣政府衛生局,1100304,1641500,傳染病防治計畫,10002
花蓮縣衛生局,1100304,2386800,傳染病防治計畫,10015
南投縣政府衛生局,1100304,2691200,傳染病防治計畫,10008
屏東縣政府衛生局,1100304,5189500,傳染病防治計畫,10013
苗栗縣政府衛生局,1100304,1337600,傳染病防治計畫,10005
基隆市衛生局,1100304,644000,傳染病防治計畫,10017
雲林縣衛生局,1100304,991200,傳染病防治計畫,10009
新竹市衛生局,1100304,598000,傳染病防治計畫,10018
新竹縣政府衛生局,1100304,1621500,傳染病防治計畫,10004
嘉義市政府衛生局,1100304,699000,傳染病防治計畫,10020
嘉義縣衛生局,1100304,2496800,傳染病防治計畫,10010
彰化縣衛生局,1100304,1338500,傳染病防治計畫,10007
臺東縣衛生局,1100304,2240800,傳染病防治計畫,10014
澎湖縣政府衛生局,1100304,503600,傳染病防治計畫,10016
金門縣衛生局,1100304,210000,傳染病防治計畫,09020
連江縣衛生福利局,1100304,114000,傳染病防治計畫,09007
疫苗基金,1100101,522000000,110年疫苗基金國庫撥補款 ,63000
國立成功大學醫學院附設醫院,1100101,100000,110年度補助醫院辦理漢生病個案確診及治療計畫,67000
國立勤益科技大學,1100101,10000,110年補助民間團體及大專校院辦理愛滋病防治工作計畫,66000
國立臺灣大學醫學院附設醫院,1100101,100000,110年度補助醫院辦理漢生病個案確診及治療計畫,63000
臺中榮民總醫院,1100101,100000,110年度補助醫院辦理漢生病個案確診及治療計畫,66000
衛生福利部樂生療養院,1100101,100000,110年度補助醫院辦理漢生病個案確診及治療計畫,65000
國立成功大學醫學院附設醫院,1100301,700000,補助支援合作醫院相關行政費,67000
國立臺灣大學醫學院附設醫院,1100301,700000,補助支援合作醫院相關行政費,63000
