受補（捐）助單位,核准日期,累計撥付金額,補（捐）助事項或用途,縣市代碼
國防醫學院,1090505,1600000,高危險病原體及列管毒素之檢驗,63000
新北市政府衛生局,1090313,5822000,傳染病防治計畫,65000
臺中市政府衛生局,1090313,5449617,傳染病防治計畫,66000
臺南市政府衛生局,1090313,11421000,傳染病防治計畫,67000
高雄市政府衛生局,1090313,16707000,傳染病防治計畫,64000
桃園市政府衛生局,1090313,5140491,傳染病防治計畫,68000
宜蘭縣政府衛生局,1090313,4425000,傳染病防治計畫,10002
花蓮縣衛生局,1090313,5563000,傳染病防治計畫,10015
南投縣政府衛生局,1090313,6766000,傳染病防治計畫,10008
屏東縣政府衛生局,1090313,12895493,傳染病防治計畫,10013
苗栗縣政府衛生局,1090313,3243000,傳染病防治計畫,10005
基隆市衛生局,1090313,1689000,傳染病防治計畫,10017
雲林縣衛生局,1090313,2632000,傳染病防治計畫,10009
新竹市衛生局,1090313,1276500,傳染病防治計畫,10018
新竹縣政府衛生局,1090313,3781000,傳染病防治計畫,10004
嘉義市政府衛生局,1090313,1585000,傳染病防治計畫,10020
嘉義縣衛生局,1090313,4971000,傳染病防治計畫,10010
彰化縣衛生局,1090313,3444000,傳染病防治計畫,10007
臺東縣衛生局,1090313,4104000,傳染病防治計畫,10014
澎湖縣政府衛生局,1090313,1397400,傳染病防治計畫,10016
金門縣衛生局,1090313,313000,傳染病防治計畫,09020
連江縣衛生福利局,1090313,273000,傳染病防治計畫,09007
國軍高雄總醫院左營分院附設民眾診療服務處,1090101,160000,109年抗生素抗藥性管理通報系統補捐助案,64000
衛生福利部臺中醫院,1090101,165000,109年抗生素抗藥性管理通報系統補捐助案,66000
疫苗基金,1090110,1027300000,109年疫苗基金國庫撥補款,63000
國立成功大學醫學院附設醫院,1090203,51343,109年度補助醫院辦理漢生病個案確診及治療計畫,67000
國立臺灣大學醫學院附設醫院,1090203,100000,109年度補助醫院辦理漢生病個案確診及治療計畫,63000
