年,週,就診類別,年齡別,縣市,其他肺炎健保就診人次,健保就診總人次,縣市別代碼
2016,01,住院,16~18,台中市,0,30,66000
2016,01,住院,16~18,台南市,0,7,67000
2016,01,住院,16~18,桃園市,0,10,68000
2016,01,住院,19~24,宜蘭縣,0,11,10002
2016,01,住院,19~24,新竹縣,0,8,10004
2016,01,住院,19~24,苗栗縣,0,21,10005
2016,01,住院,19~24,彰化縣,3,50,10007
2016,01,住院,19~24,南投縣,0,9,10008
2016,01,住院,19~24,雲林縣,0,21,10009
2016,01,住院,19~24,嘉義縣,0,5,10010
2016,01,住院,19~24,屏東縣,0,15,10013
2016,01,住院,19~24,花蓮縣,1,13,10015
2016,01,住院,19~24,基隆市,0,3,10017
2016,01,住院,19~24,新竹市,0,29,10018
2016,01,住院,19~24,嘉義市,0,4,10020
2016,01,住院,19~24,台北市,18,160,63000
2016,01,住院,19~24,高雄市,1,82,64000
2016,01,住院,19~24,新北市,3,48,65000
2016,01,住院,19~24,台中市,0,111,66000
2016,01,住院,19~24,台南市,0,37,67000
2016,01,住院,19~24,桃園市,0,29,68000
2016,01,住院,25~64,宜蘭縣,6,255,10002
2016,01,住院,25~64,新竹縣,1,61,10004
2016,01,住院,25~64,苗栗縣,6,191,10005
2016,01,住院,25~64,彰化縣,37,871,10007
2016,01,住院,25~64,南投縣,4,95,10008
2016,01,住院,25~64,雲林縣,7,221,10009
2016,01,住院,25~64,嘉義縣,3,111,10010
2016,01,住院,25~64,屏東縣,4,225,10013
2016,01,住院,25~64,台東縣,2,12,10014
2016,01,住院,25~64,花蓮縣,8,184,10015
2016,01,住院,25~64,澎湖縣,0,1,10016
2016,01,住院,25~64,基隆市,0,85,10017
2016,01,住院,25~64,新竹市,6,447,10018
2016,01,住院,25~64,嘉義市,1,32,10020
2016,01,住院,25~64,台北市,236,4136,63000
2016,01,住院,25~64,高雄市,8,1019,64000
2016,01,住院,25~64,新北市,44,961,65000
2016,01,住院,25~64,台中市,47,1610,66000
2016,01,住院,25~64,台南市,12,1012,67000
2016,01,住院,25~64,桃園市,8,562,68000
2016,01,住院,3~6,宜蘭縣,4,36,10002
2016,01,住院,3~6,新竹縣,0,2,10004
2016,01,住院,3~6,苗栗縣,6,12,10005
2016,01,住院,3~6,彰化縣,24,80,10007
2016,01,住院,3~6,南投縣,4,8,10008
2016,01,住院,3~6,雲林縣,5,12,10009
2016,01,住院,3~6,嘉義縣,2,12,10010
2016,01,住院,3~6,屏東縣,2,6,10013
2016,01,住院,3~6,台東縣,2,4,10014
2016,01,住院,3~6,花蓮縣,1,9,10015
2016,01,住院,3~6,基隆市,4,11,10017
2016,01,住院,3~6,新竹市,10,21,10018
2016,01,住院,3~6,台北市,48,179,63000
2016,01,住院,3~6,高雄市,7,46,64000
2016,01,住院,3~6,新北市,21,48,65000
2016,01,住院,3~6,台中市,23,87,66000
2016,01,住院,3~6,台南市,4,16,67000
2016,01,住院,3~6,桃園市,12,41,68000
2016,01,住院,65+,宜蘭縣,10,215,10002
2016,01,住院,65+,新竹縣,7,73,10004
2016,01,住院,65+,苗栗縣,14,197,10005
2016,01,住院,65+,彰化縣,103,688,10007
2016,01,住院,65+,南投縣,16,141,10008
2016,01,住院,65+,雲林縣,20,218,10009
2016,01,住院,65+,嘉義縣,9,154,10010
2016,01,住院,65+,屏東縣,9,136,10013
2016,01,住院,65+,台東縣,0,1,10014
2016,01,住院,65+,花蓮縣,10,91,10015
2016,01,住院,65+,澎湖縣,0,1,10016
2016,01,住院,65+,基隆市,4,64,10017
2016,01,住院,65+,新竹市,17,275,10018
2016,01,住院,65+,嘉義市,0,16,10020
2016,01,住院,65+,台北市,293,2883,63000
2016,01,住院,65+,高雄市,38,516,64000
2016,01,住院,65+,新北市,86,529,65000
2016,01,住院,65+,台中市,91,1023,66000
2016,01,住院,65+,台南市,31,580,67000
2016,01,住院,65+,桃園市,27,269,68000
2016,01,住院,7~12,宜蘭縣,3,32,10002
2016,01,住院,7~12,新竹縣,0,1,10004
2016,01,住院,7~12,苗栗縣,1,9,10005
2016,01,住院,7~12,彰化縣,12,32,10007
2016,01,住院,7~12,南投縣,1,4,10008
2016,01,住院,7~12,雲林縣,1,7,10009
2016,01,住院,7~12,嘉義縣,0,4,10010
2016,01,住院,7~12,屏東縣,0,4,10013
2016,01,住院,7~12,台東縣,1,1,10014
2016,01,住院,7~12,花蓮縣,2,2,10015
2016,01,住院,7~12,新竹市,7,13,10018
2016,01,住院,7~12,台北市,14,104,63000
2016,01,住院,7~12,高雄市,4,26,64000
2016,01,住院,7~12,新北市,10,23,65000
2016,01,住院,7~12,台中市,13,57,66000
2016,01,住院,7~12,台南市,1,10,67000
2016,01,住院,7~12,桃園市,4,26,68000
2016,01,門診,0~2,連江縣,0,22,09007
2016,01,門診,0~2,金門縣,0,389,09020
2016,01,門診,0~2,宜蘭縣,28,2203,10002
2016,01,門診,0~2,新竹縣,38,3335,10004
2016,01,門診,0~2,苗栗縣,34,2843,10005
2016,01,門診,0~2,彰化縣,173,7785,10007
2016,01,門診,0~2,南投縣,18,2561,10008
2016,01,門診,0~2,雲林縣,48,3467,10009
2016,01,門診,0~2,嘉義縣,11,1313,10010
2016,01,門診,0~2,屏東縣,79,4237,10013
2016,01,門診,0~2,台東縣,23,766,10014
2016,01,門診,0~2,花蓮縣,34,1666,10015
2016,01,門診,0~2,澎湖縣,2,382,10016
2016,01,門診,0~2,基隆市,32,1809,10017
2016,01,門診,0~2,新竹市,65,4135,10018
2016,01,門診,0~2,嘉義市,6,2221,10020
2016,01,門診,0~2,台北市,136,11700,63000
2016,01,門診,0~2,高雄市,342,15802,64000
2016,01,門診,0~2,新北市,233,23953,65000
2016,01,門診,0~2,台中市,493,18378,66000
2016,01,門診,0~2,台南市,285,10495,67000
2016,01,門診,0~2,桃園市,199,12282,68000
2016,01,門診,13~15,連江縣,0,18,09007
2016,01,門診,13~15,金門縣,0,396,09020
2016,01,門診,13~15,宜蘭縣,14,2138,10002
2016,01,門診,13~15,新竹縣,8,2049,10004
2016,01,門診,13~15,苗栗縣,11,2107,10005
2016,01,門診,13~15,彰化縣,38,5977,10007
2016,01,門診,13~15,南投縣,6,2212,10008
2016,01,門診,13~15,雲林縣,18,3448,10009
2016,01,門診,13~15,嘉義縣,18,1791,10010
2016,01,門診,13~15,屏東縣,19,3425,10013
2016,01,門診,13~15,台東縣,5,753,10014
2016,01,門診,13~15,花蓮縣,3,1207,10015
2016,01,門診,13~15,澎湖縣,1,582,10016
2016,01,門診,13~15,基隆市,22,1761,10017
2016,01,門診,13~15,新竹市,9,2291,10018
2016,01,門診,13~15,嘉義市,8,2009,10020
2016,01,門診,13~15,台北市,45,10328,63000
2016,01,門診,13~15,高雄市,59,11362,64000
2016,01,門診,13~15,新北市,108,17781,65000
2016,01,門診,13~15,台中市,202,13283,66000
2016,01,門診,13~15,台南市,87,7753,67000
2016,01,門診,13~15,桃園市,56,8975,68000
2016,01,門診,16~18,連江縣,0,17,09007
2016,01,門診,16~18,金門縣,0,462,09020
2016,01,門診,16~18,宜蘭縣,10,1881,10002
2016,01,門診,16~18,新竹縣,3,2098,10004
2016,01,門診,16~18,苗栗縣,14,2220,10005
2016,01,門診,16~18,彰化縣,32,6011,10007
2016,01,門診,16~18,南投縣,3,2064,10008
2016,01,門診,16~18,雲林縣,12,3372,10009
2016,01,門診,16~18,嘉義縣,6,1682,10010
2016,01,門診,16~18,屏東縣,9,3433,10013
2016,01,門診,16~18,台東縣,6,838,10014
2016,01,門診,16~18,花蓮縣,12,1453,10015
2016,01,門診,16~18,澎湖縣,1,503,10016
2016,01,門診,16~18,基隆市,14,1901,10017
2016,01,門診,16~18,新竹市,8,2326,10018
2016,01,門診,16~18,嘉義市,4,2210,10020
2016,01,門診,16~18,台北市,40,11214,63000
2016,01,門診,16~18,高雄市,48,12357,64000
2016,01,門診,16~18,新北市,88,19091,65000
2016,01,門診,16~18,台中市,165,14410,66000
2016,01,門診,16~18,台南市,67,8059,67000
2016,01,門診,16~18,桃園市,43,9659,68000
2016,01,門診,19~24,連江縣,0,149,09007
2016,01,門診,19~24,金門縣,0,707,09020
2016,01,門診,19~24,宜蘭縣,10,3038,10002
2016,01,門診,19~24,新竹縣,5,3233,10004
2016,01,門診,19~24,苗栗縣,6,3485,10005
2016,01,門診,19~24,彰化縣,31,9356,10007
2016,01,門診,19~24,南投縣,5,2791,10008
2016,01,門診,19~24,雲林縣,8,4817,10009
2016,01,門診,19~24,嘉義縣,7,2791,10010
2016,01,門診,19~24,屏東縣,7,5931,10013
2016,01,門診,19~24,台東縣,0,1149,10014
2016,01,門診,19~24,花蓮縣,13,2724,10015
2016,01,門診,19~24,澎湖縣,1,982,10016
2016,01,門診,19~24,基隆市,12,3090,10017
2016,01,門診,19~24,新竹市,13,4740,10018
2016,01,門診,19~24,嘉義市,2,3585,10020
2016,01,門診,19~24,台北市,69,26699,63000
2016,01,門診,19~24,高雄市,34,25309,64000
2016,01,門診,19~24,新北市,130,34598,65000
2016,01,門診,19~24,台中市,253,31206,66000
2016,01,門診,19~24,台南市,108,17503,67000
2016,01,門診,19~24,桃園市,42,16547,68000
2016,01,門診,25~64,連江縣,3,704,09007
2016,01,門診,25~64,金門縣,4,7827,09020
2016,01,門診,25~64,宜蘭縣,167,38176,10002
2016,01,門診,25~64,新竹縣,82,40084,10004
2016,01,門診,25~64,苗栗縣,79,44701,10005
2016,01,門診,25~64,彰化縣,468,124766,10007
2016,01,門診,25~64,南投縣,83,41622,10008
2016,01,門診,25~64,雲林縣,177,65096,10009
2016,01,門診,25~64,嘉義縣,149,35904,10010
2016,01,門診,25~64,屏東縣,167,78079,10013
2016,01,門診,25~64,台東縣,39,18610,10014
2016,01,門診,25~64,花蓮縣,181,35077,10015
2016,01,門診,25~64,澎湖縣,3,12126,10016
2016,01,門診,25~64,基隆市,260,42074,10017
2016,01,門診,25~64,新竹市,170,59281,10018
2016,01,門診,25~64,嘉義市,76,44973,10020
2016,01,門診,25~64,台北市,1054,342593,63000
2016,01,門診,25~64,高雄市,806,309141,64000
2016,01,門診,25~64,新北市,1683,399323,65000
2016,01,門診,25~64,台中市,2478,316757,66000
2016,01,門診,25~64,台南市,1267,201124,67000
2016,01,門診,25~64,桃園市,604,201816,68000
2016,01,門診,3~6,連江縣,0,45,09007
2016,01,門診,3~6,金門縣,4,832,09020
2016,01,門診,3~6,宜蘭縣,90,4648,10002
2016,01,門診,3~6,新竹縣,66,6557,10004
2016,01,門診,3~6,苗栗縣,129,5868,10005
2016,01,門診,3~6,彰化縣,471,15319,10007
2016,01,門診,3~6,南投縣,41,5476,10008
2016,01,門診,3~6,雲林縣,115,7416,10009
2016,01,門診,3~6,嘉義縣,43,3111,10010
2016,01,門診,3~6,屏東縣,234,8590,10013
2016,01,門診,3~6,台東縣,54,1496,10014
2016,01,門診,3~6,花蓮縣,95,3272,10015
2016,01,門診,3~6,澎湖縣,9,954,10016
2016,01,門診,3~6,基隆市,96,3728,10017
2016,01,門診,3~6,新竹市,149,7432,10018
2016,01,門診,3~6,嘉義市,40,4931,10020
2016,01,門診,3~6,台北市,494,24344,63000
2016,01,門診,3~6,高雄市,872,30108,64000
2016,01,門診,3~6,新北市,723,48734,65000
2016,01,門診,3~6,台中市,1275,37780,66000
2016,01,門診,3~6,台南市,922,21674,67000
2016,01,門診,3~6,桃園市,621,23539,68000
2016,01,門診,65+,連江縣,3,283,09007
2016,01,門診,65+,金門縣,6,3814,09020
2016,01,門診,65+,宜蘭縣,160,22630,10002
2016,01,門診,65+,新竹縣,33,14001,10004
2016,01,門診,65+,苗栗縣,127,26066,10005
2016,01,門診,65+,彰化縣,399,65633,10007
2016,01,門診,65+,南投縣,122,25576,10008
2016,01,門診,65+,雲林縣,195,40585,10009
2016,01,門診,65+,嘉義縣,147,29063,10010
2016,01,門診,65+,屏東縣,182,50312,10013
2016,01,門診,65+,台東縣,57,11982,10014
2016,01,門診,65+,花蓮縣,106,20059,10015
2016,01,門診,65+,澎湖縣,4,8157,10016
2016,01,門診,65+,基隆市,136,22157,10017
2016,01,門診,65+,新竹市,146,21641,10018
2016,01,門診,65+,嘉義市,90,22147,10020
2016,01,門診,65+,台北市,1148,183748,63000
2016,01,門診,65+,高雄市,543,149345,64000
2016,01,門診,65+,新北市,630,133729,65000
2016,01,門診,65+,台中市,853,123869,66000
2016,01,門診,65+,台南市,615,93023,67000
2016,01,門診,65+,桃園市,457,73592,68000
2016,01,門診,7~12,連江縣,0,35,09007
2016,01,門診,7~12,金門縣,0,912,09020
2016,01,門診,7~12,宜蘭縣,51,4048,10002
2016,01,門診,7~12,新竹縣,29,5773,10004
2016,01,門診,7~12,苗栗縣,75,4707,10005
2016,01,門診,7~12,彰化縣,232,13725,10007
2016,01,門診,7~12,南投縣,23,5036,10008
2016,01,門診,7~12,雲林縣,51,6770,10009
2016,01,門診,7~12,嘉義縣,36,3375,10010
2016,01,門診,7~12,屏東縣,100,7680,10013
2016,01,門診,7~12,台東縣,32,1416,10014
2016,01,門診,7~12,花蓮縣,46,2658,10015
2016,01,門診,7~12,澎湖縣,4,1107,10016
2016,01,門診,7~12,基隆市,78,3377,10017
2016,01,門診,7~12,新竹市,68,6312,10018
2016,01,門診,7~12,嘉義市,23,4250,10020
2016,01,門診,7~12,台北市,265,22561,63000
2016,01,門診,7~12,高雄市,419,27302,64000
2016,01,門診,7~12,新北市,410,42002,65000
2016,01,門診,7~12,台中市,780,32129,66000
2016,01,門診,7~12,台南市,489,19298,67000
2016,01,門診,7~12,桃園市,275,21455,68000
2016,01,門診,不詳,連江縣,0,1,09007
2016,01,門診,不詳,金門縣,0,1,09020
2016,01,門診,不詳,彰化縣,0,9,10007
2016,01,門診,不詳,嘉義縣,0,1,10010
2016,01,門診,不詳,基隆市,0,1,10017
2016,01,門診,不詳,新竹市,0,1,10018
2016,01,門診,不詳,台北市,0,21,63000
2016,01,門診,不詳,新北市,0,5,65000
2016,01,門診,不詳,台中市,1,10,66000
2016,01,門診,不詳,台南市,0,3,67000
2016,01,門診,不詳,桃園市,0,8,68000
2016,02,住院,0~2,金門縣,0,1,09020
2016,02,住院,0~2,宜蘭縣,3,41,10002
2016,02,住院,0~2,新竹縣,0,1,10004
2016,02,住院,0~2,苗栗縣,3,6,10005
2016,02,住院,0~2,彰化縣,12,78,10007
2016,02,住院,0~2,南投縣,0,2,10008
2016,02,住院,0~2,雲林縣,1,9,10009
2016,02,住院,0~2,嘉義縣,2,8,10010
2016,02,住院,0~2,屏東縣,1,8,10013
2016,02,住院,0~2,台東縣,0,1,10014
2016,02,住院,0~2,花蓮縣,1,6,10015
2016,02,住院,0~2,基隆市,0,11,10017
2016,02,住院,0~2,新竹市,4,29,10018
2016,02,住院,0~2,嘉義市,0,1,10020
2016,02,住院,0~2,台北市,18,152,63000
2016,02,住院,0~2,高雄市,4,46,64000
2016,02,住院,0~2,新北市,12,38,65000
2016,02,住院,0~2,台中市,12,124,66000
2016,02,住院,0~2,台南市,2,25,67000
2016,02,住院,0~2,桃園市,6,43,68000
2016,02,住院,13~15,宜蘭縣,0,8,10002
2016,02,住院,13~15,新竹縣,0,1,10004
2016,02,住院,13~15,苗栗縣,3,6,10005
2016,02,住院,13~15,彰化縣,0,11,10007
2016,02,住院,13~15,南投縣,1,1,10008
2016,02,住院,13~15,雲林縣,4,8,10009
2016,02,住院,13~15,嘉義縣,0,1,10010
2016,02,住院,13~15,屏東縣,0,1,10013
2016,02,住院,13~15,花蓮縣,0,2,10015
2016,02,住院,13~15,基隆市,1,6,10017
2016,02,住院,13~15,新竹市,2,4,10018
2016,02,住院,13~15,嘉義市,0,1,10020
2016,02,住院,13~15,台北市,4,42,63000
2016,02,住院,13~15,高雄市,0,14,64000
2016,02,住院,13~15,新北市,4,12,65000
2016,02,住院,13~15,台中市,4,26,66000
2016,02,住院,13~15,台南市,0,5,67000
2016,02,住院,13~15,桃園市,1,11,68000
2016,02,住院,16~18,宜蘭縣,0,9,10002
2016,02,住院,16~18,新竹縣,0,2,10004
2016,02,住院,16~18,苗栗縣,1,8,10005
2016,02,住院,16~18,彰化縣,2,22,10007
2016,02,住院,16~18,南投縣,0,2,10008
2016,02,住院,16~18,雲林縣,0,6,10009
2016,02,住院,16~18,嘉義縣,0,2,10010
2016,02,住院,16~18,屏東縣,0,3,10013
2016,02,住院,16~18,花蓮縣,0,1,10015
2016,02,住院,16~18,基隆市,2,5,10017
2016,02,住院,16~18,新竹市,1,6,10018
2016,02,住院,16~18,台北市,3,58,63000
2016,02,住院,16~18,高雄市,0,21,64000
2016,02,住院,16~18,新北市,0,11,65000
2016,02,住院,16~18,台中市,1,31,66000
2016,02,住院,16~18,台南市,0,5,67000
2016,02,住院,16~18,桃園市,0,18,68000
2016,02,住院,19~24,宜蘭縣,2,16,10002
2016,02,住院,19~24,新竹縣,0,7,10004
2016,02,住院,19~24,苗栗縣,0,15,10005
2016,02,住院,19~24,彰化縣,5,61,10007
2016,02,住院,19~24,南投縣,0,12,10008
2016,02,住院,19~24,雲林縣,0,22,10009
2016,02,住院,19~24,嘉義縣,0,10,10010
2016,02,住院,19~24,屏東縣,0,15,10013
2016,02,住院,19~24,花蓮縣,0,21,10015
2016,02,住院,19~24,基隆市,1,6,10017
2016,02,住院,19~24,新竹市,0,33,10018
2016,02,住院,19~24,嘉義市,0,7,10020
2016,02,住院,19~24,台北市,16,215,63000
2016,02,住院,19~24,高雄市,2,93,64000
2016,02,住院,19~24,新北市,1,57,65000
2016,02,住院,19~24,台中市,3,136,66000
2016,02,住院,19~24,台南市,1,54,67000
2016,02,住院,19~24,桃園市,0,61,68000
2016,02,住院,25~64,金門縣,1,15,09020
2016,02,住院,25~64,宜蘭縣,3,276,10002
2016,02,住院,25~64,新竹縣,2,61,10004
2016,02,住院,25~64,苗栗縣,8,229,10005
2016,02,住院,25~64,彰化縣,30,929,10007
2016,02,住院,25~64,南投縣,9,118,10008
2016,02,住院,25~64,雲林縣,10,268,10009
2016,02,住院,25~64,嘉義縣,2,163,10010
2016,02,住院,25~64,屏東縣,5,210,10013
2016,02,住院,25~64,台東縣,0,8,10014
2016,02,住院,25~64,花蓮縣,5,149,10015
2016,02,住院,25~64,澎湖縣,0,2,10016
2016,02,住院,25~64,基隆市,4,158,10017
2016,02,住院,25~64,新竹市,5,511,10018
2016,02,住院,25~64,嘉義市,0,83,10020
2016,02,住院,25~64,台北市,251,4087,63000
2016,02,住院,25~64,高雄市,22,1462,64000
2016,02,住院,25~64,新北市,31,955,65000
2016,02,住院,25~64,台中市,52,1726,66000
2016,02,住院,25~64,台南市,17,1214,67000
2016,02,住院,25~64,桃園市,18,1032,68000
2016,02,住院,3~6,金門縣,0,1,09020
2016,02,住院,3~6,宜蘭縣,7,59,10002
2016,02,住院,3~6,新竹縣,2,5,10004
2016,02,住院,3~6,苗栗縣,5,11,10005
2016,02,住院,3~6,彰化縣,21,89,10007
2016,02,住院,3~6,南投縣,2,9,10008
2016,02,住院,3~6,雲林縣,1,6,10009
2016,02,住院,3~6,嘉義縣,3,6,10010
2016,02,住院,3~6,屏東縣,1,9,10013
2016,02,住院,3~6,花蓮縣,0,4,10015
2016,02,住院,3~6,基隆市,2,13,10017
2016,02,住院,3~6,新竹市,9,26,10018
2016,02,住院,3~6,嘉義市,0,3,10020
2016,02,住院,3~6,台北市,33,171,63000
2016,02,住院,3~6,高雄市,9,56,64000
2016,02,住院,3~6,新北市,24,42,65000
2016,02,住院,3~6,台中市,24,106,66000
2016,02,住院,3~6,台南市,7,15,67000
2016,02,住院,3~6,桃園市,21,57,68000
2016,02,住院,65+,金門縣,1,9,09020
2016,02,住院,65+,宜蘭縣,13,250,10002
2016,02,住院,65+,新竹縣,3,44,10004
2016,02,住院,65+,苗栗縣,9,236,10005
2016,02,住院,65+,彰化縣,78,676,10007
2016,02,住院,65+,南投縣,27,116,10008
2016,02,住院,65+,雲林縣,24,282,10009
2016,02,住院,65+,嘉義縣,2,165,10010
2016,02,住院,65+,屏東縣,5,123,10013
2016,02,住院,65+,台東縣,0,3,10014
2016,02,住院,65+,花蓮縣,3,96,10015
2016,02,住院,65+,澎湖縣,0,1,10016
2016,02,住院,65+,基隆市,11,132,10017
2016,02,住院,65+,新竹市,7,299,10018
2016,02,住院,65+,嘉義市,0,24,10020
2016,02,住院,65+,台北市,260,2902,63000
2016,02,住院,65+,高雄市,47,838,64000
2016,02,住院,65+,新北市,68,509,65000
2016,02,住院,65+,台中市,125,1136,66000
2016,02,住院,65+,台南市,41,724,67000
2016,02,住院,65+,桃園市,57,610,68000
2016,02,住院,7~12,宜蘭縣,2,28,10002
2016,02,住院,7~12,新竹縣,0,3,10004
2016,02,住院,7~12,苗栗縣,4,12,10005
2016,02,住院,7~12,彰化縣,11,44,10007
2016,02,住院,7~12,南投縣,1,3,10008
2016,02,住院,7~12,雲林縣,0,7,10009
2016,02,住院,7~12,嘉義縣,2,4,10010
2016,02,住院,7~12,屏東縣,1,1,10013
2016,02,住院,7~12,基隆市,3,5,10017
2016,02,住院,7~12,新竹市,6,9,10018
2016,02,住院,7~12,台北市,17,103,63000
2016,02,住院,7~12,高雄市,3,29,64000
2016,02,住院,7~12,新北市,11,19,65000
2016,02,住院,7~12,台中市,28,71,66000
2016,02,住院,7~12,台南市,1,10,67000
2016,02,住院,7~12,桃園市,12,38,68000
2016,02,住院,不詳,台北市,1,3,63000
2016,02,住院,不詳,台中市,0,1,66000
2016,02,門診,0~2,連江縣,0,16,09007
2016,02,門診,0~2,金門縣,1,368,09020
2016,02,門診,0~2,宜蘭縣,40,2238,10002
2016,02,門診,0~2,新竹縣,31,3327,10004
2016,02,門診,0~2,苗栗縣,38,2796,10005
2016,02,門診,0~2,彰化縣,183,7423,10007
2016,02,門診,0~2,南投縣,15,2536,10008
2016,02,門診,0~2,雲林縣,65,3444,10009
2016,02,門診,0~2,嘉義縣,15,1263,10010
2016,02,門診,0~2,屏東縣,82,4114,10013
2016,02,門診,0~2,台東縣,30,789,10014
2016,02,門診,0~2,花蓮縣,41,1609,10015
2016,02,門診,0~2,澎湖縣,3,429,10016
2016,02,門診,0~2,基隆市,27,1678,10017
2016,02,門診,0~2,新竹市,81,4121,10018
2016,02,門診,0~2,嘉義市,16,2259,10020
2016,02,門診,0~2,台北市,176,12436,63000
2016,02,門診,0~2,高雄市,342,14797,64000
2016,02,門診,0~2,新北市,262,23568,65000
2016,02,門診,0~2,台中市,505,18660,66000
2016,02,門診,0~2,台南市,305,10122,67000
2016,02,門診,0~2,桃園市,174,12574,68000
2016,02,門診,13~15,連江縣,0,11,09007
2016,02,門診,13~15,金門縣,0,329,09020
2016,02,門診,13~15,宜蘭縣,13,1976,10002
2016,02,門診,13~15,新竹縣,10,1986,10004
2016,02,門診,13~15,苗栗縣,14,1908,10005
2016,02,門診,13~15,彰化縣,48,5625,10007
2016,02,門診,13~15,南投縣,15,2256,10008
2016,02,門診,13~15,雲林縣,35,3369,10009
2016,02,門診,13~15,嘉義縣,8,1689,10010
2016,02,門診,13~15,屏東縣,11,2932,10013
2016,02,門診,13~15,台東縣,4,706,10014
2016,02,門診,13~15,花蓮縣,10,1186,10015
2016,02,門診,13~15,澎湖縣,0,553,10016
2016,02,門診,13~15,基隆市,15,1596,10017
2016,02,門診,13~15,新竹市,11,2188,10018
2016,02,門診,13~15,嘉義市,5,1872,10020
2016,02,門診,13~15,台北市,69,9584,63000
2016,02,門診,13~15,高雄市,59,9840,64000
2016,02,門診,13~15,新北市,129,17877,65000
2016,02,門診,13~15,台中市,232,12764,66000
2016,02,門診,13~15,台南市,78,7644,67000
2016,02,門診,13~15,桃園市,61,9204,68000
2016,02,門診,16~18,連江縣,0,19,09007
2016,02,門診,16~18,金門縣,1,382,09020
2016,02,門診,16~18,宜蘭縣,8,1706,10002
2016,02,門診,16~18,新竹縣,3,1871,10004
2016,02,門診,16~18,苗栗縣,10,2049,10005
2016,02,門診,16~18,彰化縣,24,5769,10007
2016,02,門診,16~18,南投縣,2,1917,10008
2016,02,門診,16~18,雲林縣,19,3349,10009
2016,02,門診,16~18,嘉義縣,11,1584,10010
2016,02,門診,16~18,屏東縣,11,3035,10013
2016,02,門診,16~18,台東縣,3,706,10014
2016,02,門診,16~18,花蓮縣,10,1279,10015
2016,02,門診,16~18,澎湖縣,0,480,10016
2016,02,門診,16~18,基隆市,15,1766,10017
2016,02,門診,16~18,新竹市,8,2173,10018
2016,02,門診,16~18,嘉義市,2,2098,10020
2016,02,門診,16~18,台北市,38,10475,63000
2016,02,門診,16~18,高雄市,37,10949,64000
2016,02,門診,16~18,新北市,93,18475,65000
2016,02,門診,16~18,台中市,185,13533,66000
2016,02,門診,16~18,台南市,69,7878,67000
2016,02,門診,16~18,桃園市,39,9492,68000
2016,02,門診,19~24,連江縣,0,161,09007
2016,02,門診,19~24,金門縣,0,644,09020
2016,02,門診,19~24,宜蘭縣,10,3047,10002
2016,02,門診,19~24,新竹縣,3,3099,10004
2016,02,門診,19~24,苗栗縣,10,3453,10005
2016,02,門診,19~24,彰化縣,33,9907,10007
2016,02,門診,19~24,南投縣,3,3121,10008
2016,02,門診,19~24,雲林縣,15,4901,10009
2016,02,門診,19~24,嘉義縣,7,2715,10010
2016,02,門診,19~24,屏東縣,4,5710,10013
2016,02,門診,19~24,台東縣,0,1121,10014
