"單位類別","受捐助單位名稱","核准日期","補助金額","累計金額","補助事項或用途","縣市代碼"
"縣市政府","嘉義市政府衛生局","107/5/11","143438 ","143438 ","107年補助辦理流感疫苗接種計畫","10020"
"縣市政府","新竹市政府衛生局","107/5/11","208937 ","208937 ","107年補助辦理流感疫苗接種計畫","10018"
"縣市政府","宜蘭縣政府衛生局","107/5/11","210364 ","210364 ","107年補助辦理流感疫苗接種計畫","10002"
"縣市政府","彰化縣政府衛生局","107/5/11","152529 ","152529 ","107年補助辦理流感疫苗接種計畫","10007"
"縣市政府","新竹縣政府衛生局","107/5/11","26374 ","26374 ","107年補助辦理流感疫苗接種計畫","10004"
"縣市政府","雲林縣政府衛生局","107/5/11","334934 ","334934 ","107年補助辦理流感疫苗接種計畫","10009"
"縣市政府","屏東縣政府衛生局","107/5/11","139667 ","139667 ","107年補助辦理流感疫苗接種計畫","10013"
"縣市政府","臺南市政府衛生局","107/5/11","332970 ","332970 ","107年補助辦理流感疫苗接種計畫","67000"
"縣市政府","基隆市政府衛生局","107/5/11","196647 ","196647 ","107年補助辦理流感疫苗接種計畫","10017"
"縣市政府","臺中市政府衛生局","107/5/11","1749150 ","1749150 ","107年補助辦理流感疫苗接種計畫","66000"
"縣市政府","桃園市政府衛生局","107/5/11","4127288 ","4127288 ","107年補助辦理流感疫苗接種計畫","68000"
"縣市政府","高雄市政府衛生局","107/5/11","1424778 ","1424778 ","107年補助辦理流感疫苗接種計畫","64000"
"縣市政府","臺北市政府衛生局","107/5/11","795313 ","795313 ","107年補助辦理流感疫苗接種計畫","63000"
