"單位類別","受捐助單位名稱","核准日期","補助金額","累計金額","補助事項或用途","縣市"
"個人","民眾","102.06.11"," 13700 "," 426300 ","104年7-12月及105年1-6月低收入戶及中低收入戶學幼童常規疫苗接種診察費補助","-"
"個人","民眾","105.12.14"," 412000000 "," 412000000 ","105年度流感疫苗接種處置費","-"
"縣市政府","彰化縣政府衛生局","103.05.30
104.06.01
105.05.25"," 508533 "," 2163533 ","補助疫苗冷運冷藏設備","彰化縣"
"縣市政府","臺南市政府衛生局","105.02.26
105.05.25"," 726890 "," 808890 ","補助疫苗冷運冷藏設備","臺南市"
"縣市政府","花蓮縣政府衛生局","105.05.25"," 252403 "," 252403 ","補助疫苗冷運冷藏設備","花蓮縣"
"縣市政府","嘉義縣政府衛生局","104.10.15
105.5.25"," 1172533 "," 1172533 ","補助疫苗冷運冷藏設備","嘉義縣"
"縣市政府","新竹縣政府衛生局","105.05.25"," 192515 "," 192515 ","補助疫苗冷運冷藏設備","新竹縣"
"縣市政府","屏東縣政府衛生局","105.05.25"," 844781 "," 844781 ","補助疫苗冷運冷藏設備","屏東縣"
"縣市政府","宜蘭縣政府衛生局","105.05.25"," 194150 "," 194150 ","補助疫苗冷運冷藏設備","宜蘭縣"
"縣市政府","南投縣政府衛生局","105.05.25"," 315476 "," 315476 ","補助疫苗冷運冷藏設備","南投縣"
"縣市政府","雲林縣政府衛生局","105.05.25"," 773148 "," 773148 ","補助疫苗冷運冷藏設備","雲林縣"
"縣市政府","臺東縣政府衛生局","105.05.25"," 217988 "," 217988 ","補助疫苗冷運冷藏設備","臺東縣"
"縣市政府","新北市政府衛生局","105.05.25"," 952255 "," 952255 ","補助疫苗冷運冷藏設備","新北市"
"縣市政府","高雄市政府衛生局","105.05.25"," 1206579 "," 1206579 ","補助疫苗冷運冷藏設備","高雄市"
"縣市政府","基隆市政府衛生局","105.05.25"," 281674 "," 281674 ","補助疫苗冷運冷藏設備","基隆市"
"縣市政府","台中市政府衛生局","105.05.25"," 1377389 "," 1377389 ","補助疫苗冷運冷藏設備","台中市"
"縣市政府","苗栗縣政府衛生局","105.05.25"," 599009 "," 599009 ","補助疫苗冷運冷藏設備","苗栗縣"
"縣市政府","澎湖縣政府衛生局","105.05.25"," 275473 "," 275473 ","補助疫苗冷運冷藏設備","澎湖縣"
"縣市政府","桃園縣政府衛生局","105.05.25"," 361871 "," 361871 ","補助疫苗冷運冷藏設備","桃園縣"
"縣市政府","新竹市政府衛生局","105.05.25"," 108350 "," 108350 ","補助疫苗冷運冷藏設備","新竹市"
"縣市政府","嘉義市政府衛生局","105.05.25"," 10835 "," 10835 ","補助疫苗冷運冷藏設備","嘉義市"
"縣市政府","金門縣政府衛生局","105.05.25"," 17336 "," 17336 ","補助疫苗冷運冷藏設備","金門縣"
"縣市政府","連江縣政府衛生局","105.05.25"," 2167 "," 2167 ","補助疫苗冷運冷藏設備","連江縣"
"縣市政府","宜蘭縣政府衛生局","105.05.10"," 3343000 "," 3343000 ","105年度補助地方政府衛生局辦理流感疫苗接種工作計畫","宜蘭縣"
"縣市政府","彰化縣政府衛生局","105.05.10"," 8050000 "," 8050000 ","105年度補助地方政府衛生局辦理流感疫苗接種工作計畫","彰化縣"
"縣市政府","台東縣政府衛生局","105.05.10"," 1501000 "," 1501000 ","105年度補助地方政府衛生局辦理流感疫苗接種工作計畫","台東縣"
"縣市政府","桃園市政府衛生局","105.05.10"," 10690000 "," 10690000 ","105年度補助地方政府衛生局辦理流感疫苗接種工作計畫","桃園市"
"縣市政府","台中市政府衛生局","105.05.10"," 11384877 "," 11384877 ","105年度補助地方政府衛生局辦理流感疫苗接種工作計畫","台中市"
"縣市政府","金門縣政府衛生局","105.05.10"," 411290 "," 411290 ","105年度補助地方政府衛生局辦理流感疫苗接種工作計畫","金門縣"
"縣市政府","連江縣政府衛生局","105.05.10"," 97000 "," 97000 ","105年度補助地方政府衛生局辦理流感疫苗接種工作計畫","連江縣"
"縣市政府","嘉義縣政府衛生局","105.05.10"," 4329286 "," 4329286 ","105年度補助地方政府衛生局辦理流感疫苗接種工作計畫","嘉義縣"
"縣市政府","花蓮縣政府衛生局","105.05.10"," 2755211 "," 2755211 ","105年度補助地方政府衛生局辦理流感疫苗接種工作計畫","花蓮縣"
"縣市政府","嘉義市政府衛生局","105.05.10"," 1757734 "," 1757734 ","105年度補助地方政府衛生局辦理流感疫苗接種工作計畫","嘉義市"
"縣市政府","雲林縣政府衛生局","105.05.10"," 5010571 "," 5010571 ","105年度補助地方政府衛生局辦理流感疫苗接種工作計畫","雲林縣"
"縣市政府","新竹縣政府衛生局","105.05.10"," 2671671 "," 2671671 ","105年度補助地方政府衛生局辦理流感疫苗接種工作計畫","新竹縣"
"縣市政府","澎湖縣政府衛生局","105.05.10"," 773720 "," 773720 ","105年度補助地方政府衛生局辦理流感疫苗接種工作計畫","澎湖縣"
"縣市政府","基隆市政府衛生局","105.05.10"," 2133677 "," 2133677 ","105年度補助地方政府衛生局辦理流感疫苗接種工作計畫","基隆市"
"縣市政府","台北市政府衛生局","105.05.10"," 13658891 "," 13658891 ","105年度補助地方政府衛生局辦理流感疫苗接種工作計畫","台北市"
"縣市政府","新北市政府衛生局","105.05.10"," 17334000 "," 17334000 ","105年度補助地方政府衛生局辦理流感疫苗接種工作計畫","新北市"
"縣市政府","新竹市政府衛生局","105.05.10"," 2306600 "," 2306600 ","105年度補助地方政府衛生局辦理流感疫苗接種工作計畫","新竹市"
"縣市政府","苗栗縣政府衛生局","105.05.10"," 4214563 "," 4214563 ","105年度補助地方政府衛生局辦理流感疫苗接種工作計畫","苗栗縣"
"縣市政府","南投縣政府衛生局","105.05.10"," 3372741 "," 3372741 ","105年度補助地方政府衛生局辦理流感疫苗接種工作計畫","南投縣"
"縣市政府","台南市政府衛生局","105.05.10"," 11324322 "," 11324322 ","105年度補助地方政府衛生局辦理流感疫苗接種工作計畫","台南市"
"縣市政府","高雄市政府衛生局","105.05.10"," 15045701 "," 15045701 ","105年度補助地方政府衛生局辦理流感疫苗接種工作計畫","高雄市"
"縣市政府","屏東縣政府衛生局","105.05.10"," 5076741 "," 5076741 ","105年度補助地方政府衛生局辦理流感疫苗接種工作計畫","屏東縣"
