縣市名稱,縣市代碼,卡介苗單一劑（完成率）,五合一疫苗第三劑（完成率）,五合一疫苗第四劑（完成率）,B型肝炎疫苗第二劑（完成率）,B型肝炎疫苗第三劑（完成率）,結合型肺炎鏈球菌疫苗第二劑（完成率）,結合型肺炎鏈球菌疫苗第三劑（完成率）,水痘疫苗單一劑（完成率）,麻疹腮腺炎德國麻疹混合疫苗第一劑（完成率）,A型肝炎疫苗第一劑（完成率）,A型肝炎疫苗第二劑（完成率）,活性減毒日本腦炎疫苗第一劑（完成率）,活性減毒日本腦炎疫苗第二劑（完成率）,白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗單一劑（完成率）,麻疹腮腺炎德國麻疹混合疫苗第二劑（完成率）
新北市,65000,97.43,98.19,96.25,98.72,98.27,98.04,97.14,98.52,98.84,97.61,93.86,97.04,94.18,96.94,97.46
臺北市,63000,94.78,97.91,94.32,98.85,97.91,97.08,95.5,97.89,98.35,96.06,90.45,94.55,91.39,96.19,96.97
桃園市,68000,98.11,98.21,96.65,99.19,98.26,98.14,97.26,98.19,98.48,97.74,94.53,97.36,95.86,96.55,96.73
臺中市,66000,97.91,98.07,95.66,99.15,98.29,98.35,97.12,98.49,98.73,97.71,91.48,97.17,93.21,97.1,97.26
臺南市,67000,98.01,98.23,96.46,99.03,98.33,98.47,97.6,98.48,98.8,97.78,91.37,97.51,94.39,97.26,97.54
高雄市,64000,98.27,98.94,97.08,99.59,99.09,98.87,97.59,98.91,99.24,98.13,94.02,97.35,95.53,98.31,98.6
宜蘭縣,10002,98.07,98.15,95.25,99.14,98.31,98.23,97.02,97.92,98.12,97.61,92.27,96.55,92.84,94.91,94.88
新竹縣,10004,98.24,98.01,95.59,98.94,98.2,98.41,96.8,98.4,98.57,97.81,91.66,97.11,93.48,97.54,97.69
苗栗縣,10005,98.33,98.41,95.52,99.53,98.49,98.72,96.89,98.78,98.89,97.78,91.74,97.44,93.01,97.26,97.4
彰化縣,10007,98.65,98.69,97.08,99.37,98.8,98.86,98.27,99.15,99.37,98.84,94.32,98.48,94.64,98.32,98.37
南投縣,10008,98.27,98.36,96.06,98.95,98.4,98.36,96.4,98.3,98.72,97.76,92.13,97.64,94.41,98.22,98.13
雲林縣,10009,98.99,99.14,97.44,99.76,99.2,99.05,98.17,99.21,99.33,98.69,94.32,98.54,94.61,98.28,98.28
嘉義縣,10010,98.4,98.4,95.97,99.33,98.75,98.58,97.36,98.89,98.93,97.73,92.49,97.41,93.67,97.9,98.09
屏東縣,10013,98.66,98.56,96.61,99.5,98.87,98.96,97.53,98.86,99.31,98.39,93.52,97.7,93.91,98.26,98.35
臺東縣,10014,98.4,98.25,96.07,99.09,98.25,98.56,97.33,98.58,98.82,98.03,93.08,97.72,93.9,98.23,98.1
花蓮縣,10015,98.5,98.05,96.54,99.0,98.44,98.55,97.68,99.12,99.28,98.56,91.39,98.35,94.66,97.88,97.88
澎湖縣,10016,99.14,99.0,96.61,99.43,99.28,99.0,97.6,99.29,99.29,98.59,92.94,98.02,94.61,98.34,98.5
基隆市,10017,98.33,98.4,96.39,98.89,98.61,98.26,96.51,98.19,98.55,97.17,93.43,96.81,94.63,98.42,98.67
新竹市,10018,97.33,97.18,93.94,98.33,97.18,97.64,94.85,97.35,97.64,96.47,90.24,95.7,89.64,92.52,92.97
嘉義市,10020,98.09,98.23,96.56,99.08,98.37,98.73,96.83,98.41,98.74,97.75,92.39,97.42,93.83,97.88,98.01
金門縣,09020,97.98,98.99,96.34,98.32,98.65,98.48,96.82,97.46,97.77,97.3,93.96,97.3,95.41,95.38,95.24
連江縣,09007,98.84,97.67,97.56,98.84,96.51,100.0,97.56,98.78,98.78,98.78,95.12,98.78,93.41,96.34,95.12
